name,nat,tm,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB,season
Mikel Arteta,Arsenal,es,34,M(C),183,64,34,2985,6,3,6,-,0.6,91.5,1,7,3.2,2.9,2.2,-,1.4,1.1,0.2,-,0.8,0.6,1.4,-,0.7,0.5,80.9,0.3,5.3,0.2,2012-13
Tomas Rosicky,Arsenal,cz,35,M(CR),178,65,7(3),614,2,1,2,-,1,86.7,0.5,2,1.2,1.2,1.3,-,0.1,0.7,0.2,-,0.9,0.7,1,-,0.3,0.8,47.2,-,1.9,0.5,2012-13
Abou Diaby,Arsenal,fr,30,M(C),191,75,10(1),714,-,-,1,-,0.7,87.4,1.7,1,1.7,2.2,0.7,-,1.6,0.5,0.1,-,1.3,2.5,0.3,0.1,2,1.1,51.3,0.1,1.4,-,2012-13
Bacary Sagna,Arsenal,fr,33,D(CR),176,72,25,2240,-,-,2,-,0.1,86.8,3,-,2.2,1.3,0.8,0.4,3.6,0.1,0.3,-,0.8,0.4,1,-,0.7,0.6,59.9,0.7,1.6,-,2012-13
Ignasi Miquel,Arsenal,es,23,D(C),189,85,0(1),3,-,-,-,-,-,100,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,1,-,-,-,2012-13
Vito Mannone,Arsenal,it,28,GK,188,80,9,810,-,-,-,-,-,57.6,0.4,-,-,-,-,-,0.4,-,-,-,-,-,0.1,-,-,-,24.9,-,8.4,-,2012-13
Andrey Arshavin,Arsenal,ru,35,AM(LR),172,69,0(7),80,-,-,1,-,0.4,70.7,0.1,-,-,-,0.6,-,-,-,-,-,0.7,0.1,0.1,-,0.1,0.6,8.3,0.4,0.4,0.1,2012-13
Alex Oxlade Chamberlain,Arsenal,eng,23,M(CLR),180,70,11(14),1063,1,3,1,-,1.3,81.1,0.4,-,1.1,0.6,0.2,-,0.4,0.3,-,-,0.8,1.2,0.6,0.1,1,0.7,21,0.3,0.8,0.1,2012-13
Thomas Vermaelen,Arsenal,be,30,D(CL),183,80,25(4),2238,-,-,3,-,0.5,86.3,2.3,-,1.5,1.6,0.7,0.7,4.5,0.3,0.7,-,0.1,0.3,0.7,-,0.1,0.4,40.2,-,2.9,-,2012-13
Lukas Podolski,Arsenal,de,31,"AM(LR),FW",182,83,25(8),2000,11,9,1,-,1.6,83.8,0.8,1,1,0.5,1,-,0.5,0.5,0.1,-,1,0.4,0.5,0.3,0.6,0.9,28.5,0.2,0.3,0.1,2012-13
