name,nat,tm,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB,season
Jack Wilshere,Arsenal,eng,24,M(CLR),172,68,20(5),1696,-,3,3,1,0.5,86.2,0.4,-,1.3,1,0.9,-,0.1,0.8,0.2,-,1.9,2.2,2.1,0.2,1.2,1,47.7,0.5,2.6,0.4,2012-13
Kieran Gibbs,Arsenal,eng,26,D(L),178,70,23(4),2100,-,3,2,-,0.3,83.9,1.5,1,2.8,2.4,0.7,0.6,2.9,0.8,0.3,-,1.1,0.4,0.4,0.2,0.5,0.6,41,0.6,1.1,-,2012-13
Nacho Monreal,Arsenal,es,30,D(CL),178,72,9(1),792,1,1,2,-,0.6,86.8,1.1,1,1.7,2.5,0.6,0.3,2.4,0.8,-,-,0.7,0.3,0.7,-,0.3,0.2,43.2,0.3,1,-,2012-13
Wojciech Szczesny,Arsenal,pl,26,GK,196,84,25,2250,-,-,1,-,-,63.3,0.2,-,-,-,0.1,-,1.1,0.1,-,-,-,-,-,-,-,0.1,24.4,-,8.2,-,2012-13
Laurent Koscielny,Arsenal,fr,31,D(C),186,75,20(5),1673,2,1,1,1,0.4,83.3,2.3,2,1.7,1.6,0.6,1.2,4.9,0.2,0.4,-,0.1,0.1,0.6,-,-,0.2,30.6,-,1.4,-,2012-13
Olivier Giroud,Arsenal,fr,29,FW,192,88,24(10),2325,11,3,3,1,3.1,64,3.9,3,0.6,0.4,1,0.1,1.3,0.3,0.1,-,1,0.3,0.7,0.6,1.4,2.1,20.5,-,0.3,0.2,2012-13
Santi Cazorla,Arsenal,es,31,M(CLR),168,66,37(1),3311,12,11,1,-,3,86.8,0.2,9,1.9,1.8,0.4,-,0.3,1.7,-,-,2.6,2.3,1.3,-,1.7,1.1,65,1.2,4.9,0.8,2012-13
Carl Jenkinson,Arsenal,eng,24,D(R),185,77,14,1188,-,-,-,1,0.3,85.1,1.2,-,2.4,0.6,0.9,0.4,2.4,0.2,0.3,-,0.6,0.7,0.4,-,0.8,0.6,56.9,0.5,2.8,-,2012-13
Theo Walcott,Arsenal,eng,27,"M(LR),FW",176,68,24(8),2286,14,10,3,-,2.7,83.1,0.2,1,0.5,0.3,0.3,0.1,0.2,0.3,-,-,1.3,1.5,1.1,0.8,1.3,0.9,16.6,0.9,0.3,0.1,2012-13
Lukasz Fabianski,Arsenal,pl,31,GK,190,83,4,360,-,-,-,-,-,54.3,-,-,-,-,-,-,0.8,-,-,-,-,-,-,-,-,-,29,-,10.5,-,2012-13
André Santos,Arsenal,br,33,"D(L),M(CL)",180,73,3(5),395,-,-,-,-,0.5,89,0.4,-,2.4,2,0.5,0.6,1.3,1.5,-,-,0.6,0.1,0.4,-,1.1,0.4,38.8,0.6,1.9,0.1,2012-13
Aaron Ramsey,Arsenal,wls,25,M(CR),178,76,21(15),2087,1,2,5,-,1.3,88.2,0.4,1,2,1.2,1.3,0.1,0.7,0.9,0.2,-,1.3,0.9,0.9,-,1.2,0.6,53.7,0.2,2.9,0.3,2012-13
Per Mertesacker,Arsenal,de,31,D(C),198,90,33(1),3028,3,-,3,1,0.5,91.5,2.6,1,1,1.5,0.4,1.1,4.8,0.4,0.6,-,0.1,-,0.6,-,-,0.1,50.1,-,1.7,-,2012-13
Gervinho,Arsenal,ci,29,"M(LR),FW",179,66,12(6),1019,5,3,1,-,1.9,84.8,0.3,1,0.5,0.6,0.2,-,0.1,0.2,-,-,0.8,1.3,0.6,0.4,1.2,1.2,19.7,0.1,-,-,2012-13
Francis Coquelin,Arsenal,fr,25,M(CL),178,74,3(8),223,-,-,-,-,0.1,87.3,0.3,-,1,1.2,0.3,-,0.3,0.3,0.1,-,0.1,0.3,0.5,-,0.8,0.1,14.3,0.1,0.3,-,2012-13
Serge Gnabry,Arsenal,de,21,AM(R),173,73,0(1),8,-,-,-,-,2,66.7,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,9,-,-,1,2012-13
Garath McCleary,Reading,jm,29,"D(R),M(LR)",188,76,15(16),1572,3,2,-,-,1.1,70.1,0.6,-,0.9,0.6,0.4,-,0.2,0.3,-,-,0.8,0.4,0.7,-,1,0.6,14.8,0.7,0.5,-,2012-13
Sean Morrison,Reading,eng,25,D(C),193,89,15(1),1327,2,-,-,-,0.9,65.6,4.2,1,1.1,1.1,0.6,1.1,7.1,0.2,1.2,-,0.4,0.1,0.6,-,0.1,0.3,26.6,-,2.3,-,2012-13
Jobi McAnuff,Reading,jm,34,AM(CLR),178,70,38,3274,-,7,5,-,1.1,68.6,0.7,-,1.6,1.3,1.1,-,1.1,0.6,0.2,-,1,1.2,1.9,0.1,2,1.2,23.6,1,1,0.1,2012-13
Jay Tabb,Reading,eng,32,M(CL),170,63,12,1020,-,1,2,-,0.8,79.7,1.1,-,2.1,2.3,1.3,-,1.4,0.7,0.3,-,0.8,0.4,1.8,-,1.2,0.9,29.6,-,1.6,0.2,2012-13
Alex Pearce,Reading,ie,27,D(C),188,85,18(1),1645,-,1,1,-,0.5,68.8,3.5,-,0.8,1.2,0.7,0.6,8.9,0.1,1.1,-,0.2,0.1,0.4,0.1,-,0.2,26.8,-,1.8,0.1,2012-13
Noel Hunt,Reading,ie,33,FW,173,72,10(14),952,2,-,4,-,0.8,61.1,2.5,-,0.4,0.4,1.1,-,0.8,0.3,-,-,0.4,0.1,0.7,0.6,1.3,1,12.2,0.2,0.3,-,2012-13
Adam Federici,Reading,au,31,GK,188,90,21,1890,-,-,-,-,-,39,0.4,-,-,-,-,-,1.1,0.1,-,-,-,-,-,-,-,-,29.2,-,10.4,-,2012-13
Hope Akpan,Reading,ng,25,DMC,182,77,6(3),471,-,3,-,-,0.9,70.9,0.9,-,1.1,0.9,0.8,-,1.3,-,0.1,-,0.7,0.7,0.3,0.1,0.4,0.3,20.2,0.1,0.8,0.1,2012-13
Shaun Cummings,Reading,eng,27,D(LR),183,79,9,810,-,-,1,-,-,67.7,0.9,-,2.3,1.9,0.2,0.2,3.4,0.2,0.7,-,0.4,0.3,0.4,-,0.9,0.2,35.1,0.4,1.1,-,2012-13
Stephen Kelly,Reading,ie,33,D(LR),184,82,16,1424,-,-,2,-,0.3,71.2,1.4,-,1.4,2.2,0.6,0.3,4.3,0.6,0.6,-,0.4,0.1,0.4,0.1,0.3,0.6,28.7,0.3,1,-,2012-13
Dominic Samuel,Reading,eng,22,Forward,182,89,0(1),18,-,-,-,-,-,62.5,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,8,-,-,-,2012-13
Ian Harte,Reading,ie,39,D(L),175,78,15(1),1361,-,3,1,-,0.6,69.2,0.9,-,1.3,1.1,0.8,0.3,4.3,0.8,0.6,-,0.8,0.1,0.1,0.1,0.3,0.4,31,1.4,2.9,-,2012-13
Daniel Carriço,Reading,pt,28,"D(C),DMC",180,80,1(2),86,-,-,-,-,0.3,70.5,-,-,1.3,1,1.3,-,1,0.3,-,-,-,-,0.3,-,0.7,0.7,14.7,-,0.7,-,2012-13
Nick Blackman,Reading,eng,26,"AM(LR),FW",188,74,3(8),390,-,1,2,-,0.7,73.6,0.4,-,0.5,0.3,0.9,-,0.4,0.3,-,-,0.4,0.4,0.4,0.1,1.2,1.1,11,0.3,0.5,-,2012-13
Pavel Pogrebnyak,Reading,ru,32,FW,188,91,26(3),2035,5,-,4,1,1.1,67.8,2.9,-,0.7,0.2,1.6,-,0.9,0.6,-,-,0.5,0.3,1.7,0.8,1.9,1.4,18.9,0.1,0.3,-,2012-13
Nicky Shorey,Reading,eng,35,D(L),175,67,16(1),1443,-,4,-,-,0.6,72.8,0.8,-,1,1.4,0.4,0.2,3.2,0.2,0.4,-,2.6,0.2,0.2,-,0.2,0.4,37.4,2.9,2.6,-,2012-13
Alex McCarthy,Reading,eng,26,GK,193,79,13,1170,-,-,-,-,-,43.9,0.2,1,0.1,0.1,-,-,1.2,0.1,-,-,-,-,-,-,-,0.1,28.9,-,10.1,-,2012-13
Mikele Leigertwood,Reading,eng,33,DMC,188,78,29(1),2646,1,-,3,-,0.6,75.4,1.4,-,3,2.7,1.4,-,2.6,1.2,0.5,-,0.4,0.6,0.5,-,1.3,0.9,42.2,-,3,0.1,2012-13
Hal Robson-Kanu,Reading,wls,27,"AM(LR),FW",183,83,13(12),1275,7,1,-,-,1.5,73.9,1,-,0.4,0.8,1.1,-,0.6,0.3,-,-,0.6,0.3,1.2,0.1,1.8,1.1,13.2,0.7,0.4,-,2012-13
Jem Karacan,Reading,tr,27,DMC,178,65,21,1608,1,1,2,-,0.7,80.2,0.5,-,2.4,1.3,0.7,-,1,0.8,0.2,-,0.5,-,1,-,0.6,0.5,31.2,0.1,2,-,2012-13
Kaspars Gorkss,Reading,lv,34,D(C),191,85,14,1260,1,-,2,-,0.6,67.2,3.3,1,1.3,2.2,0.8,0.9,8.9,0.9,1.2,-,0.1,0.1,0.6,-,-,0.4,22.6,-,1.4,-,2012-13
Stuart Taylor,Reading,eng,35,GK,198,85,4,360,-,-,-,-,-,34.7,0.3,-,-,-,-,-,1.3,-,-,-,-,-,-,-,-,0.3,25.3,-,7.8,-,2012-13
Adrian Mariappa,Reading,jm,29,D(CR),180,78,29,2610,1,-,5,-,0.4,73.4,2.9,1,1.9,1.9,0.7,0.9,8.4,0.4,1.2,-,0.1,0.2,0.7,0.1,0.2,0.5,23.6,-,1.7,-,2012-13
Adam Le Fondre,Reading,eng,29,FW,180,73,11(23),1491,12,1,3,-,1.6,72.4,0.7,1,0.3,0.3,0.4,-,0.2,-,-,-,0.3,0.1,0.6,0.3,0.8,0.9,7.7,0.2,0.1,-,2012-13
Jimmy Kébé,Reading,fr,32,AM(R),187,73,16(2),1339,5,1,1,-,1,73.9,0.5,1,1.3,1.2,0.5,-,1.6,0.4,0.1,-,0.7,1.1,1.4,0.3,0.8,1.4,17.2,0.7,0.2,-,2012-13
Jason Roberts,Reading,gd,38,FW,185,79,8(3),709,-,1,2,-,0.9,70.7,0.6,-,0.3,0.3,1.1,-,0.2,-,0.1,-,0.6,1,2.1,0.6,2.1,2.3,12.1,0.3,0.1,-,2012-13
Chris Gunter,Reading,wls,27,"D(LR),M(R)",180,71,20,1790,-,-,1,-,0.1,69.7,0.6,-,1.1,1,0.6,0.4,4.2,0.3,0.4,-,0.5,0.2,0.9,0.1,0.2,0.4,30.5,0.8,1.8,-,2012-13
Danny Guthrie,Reading,eng,29,M(C),170,73,19(2),1618,1,1,4,-,0.7,79.3,0.8,-,2,1.5,0.8,-,0.7,0.8,-,-,1.2,0.1,1.3,0.1,1.3,0.6,38.4,1.4,4.5,0.1,2012-13
Juan Mata,Chelsea,es,28,AM(CLR),170,63,31(4),2749,12,12,3,-,2,85.2,0.1,5,0.7,0.6,0.4,-,0.1,0.8,-,-,2.8,0.6,1,0.5,1.9,1.3,52.5,1.3,2.8,0.2,2012-13
Petr Cech,Chelsea,cz,34,GK,196,90,36,3196,-,-,2,-,-,57.1,0.1,-,-,-,-,-,0.9,-,-,-,-,-,0.1,-,-,-,26.8,-,7.6,-,2012-13
Yossi Benayoun,Chelsea,il,36,M(R),178,70,0(6),53,-,-,-,-,-,82.8,0.2,-,0.2,0.7,0.8,-,0.3,-,-,-,0.5,-,-,-,0.2,-,4.8,-,-,0.2,2012-13
Gary Cahill,Chelsea,eng,30,D(C),193,86,24(2),2216,2,2,1,-,0.6,88.4,3,-,1.1,1,0.5,0.9,6.5,0.3,1.2,-,0.3,0.2,0.6,-,0.2,0.2,42.4,-,3.2,-,2012-13
Ross Turnbull,Chelsea,eng,31,GK,193,85,2(1),225,-,-,-,-,-,62.1,0.3,-,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-,19.3,-,4.3,-,2012-13
Ashley Cole,Chelsea,eng,35,D(L),176,66,31,2790,1,2,3,-,0.7,88.8,0.7,-,2.1,1.2,0.5,0.1,2.7,0.7,0.2,-,0.6,0.4,0.7,0.1,0.8,0.8,42.5,0.2,2.1,-,2012-13
Oscar,Chelsea,br,25,AM(CLR),179,67,24(10),2293,4,5,2,-,1.8,83,0.3,1,2.5,0.9,1,-,0.9,1.1,0.1,-,1.4,1.1,1.1,0.1,1.6,1.8,39.8,0.6,1.2,-,2012-13
Fernando Torres,Chelsea,es,32,FW,185,79,28(8),2571,8,6,4,1,1.9,69.5,2.1,5,0.9,0.3,1.4,-,0.9,0.2,-,-,1,1.1,1.1,0.8,1.9,1.9,18.2,0.2,0.4,0.1,2012-13
Marko Marin,Chelsea,de,27,M(CLR),170,64,2(4),143,1,1,2,-,1,80.5,-,-,0.5,0.5,0.5,-,0.3,0.2,-,-,0.8,0.3,0.2,0.2,0.3,1.2,6.8,1.3,0.3,-,2012-13
Frank Lampard,Chelsea,eng,38,M(C),184,89,21(8),1901,15,1,2,-,2.8,81.9,0.3,2,1.2,0.9,0.5,-,0.9,0.7,0.2,-,1.1,0.3,0.4,0.1,0.5,0.6,42.9,0.3,3.2,0.1,2012-13
Ramires,Chelsea,br,29,M(CR),180,70,28(7),2521,5,1,8,1,1,85.2,1.1,1,3.2,1.6,1.5,-,1.3,1,0.3,-,0.6,0.8,1.3,-,1.1,0.8,36.9,0.1,1.8,-,2012-13
César Azpilicueta,Chelsea,es,27,D(LR),178,75,24(3),2196,-,4,4,-,0.4,81.8,0.9,1,2.6,1.6,0.8,0.3,2.5,0.6,0.2,1,0.9,0.3,0.7,-,0.3,0.5,45,0.9,1.9,-,2012-13
Raul Meireles,Chelsea,pt,33,M(C),179,65,1(2),100,-,-,-,-,0.7,85.9,-,-,0.3,1,1.3,-,1.3,0.7,-,-,0.3,-,1,0.3,-,-,23.7,0.3,2.7,-,2012-13
Ryan Bertrand,Chelsea,eng,27,"D(CL),M(L)",179,85,14(5),1280,-,-,1,-,0.4,84.4,0.6,-,1.2,0.5,0.7,0.2,1.3,0.2,0.1,-,0.6,0.3,0.7,0.1,0.6,0.7,24.9,0.3,0.9,-,2012-13
Nathan Aké,Chelsea,nl,21,"D(L),DMC",180,75,1(2),92,-,-,-,-,0.3,82.4,0.3,-,1,0.7,-,-,0.3,-,0.7,-,0.3,-,-,-,0.3,-,17,-,1.3,-,2012-13
John Terry,Chelsea,eng,35,D(C),187,90,11(3),950,4,-,1,-,0.5,88.9,2.4,1,0.9,1.3,0.4,0.6,5,0.1,0.7,-,-,-,0.3,-,0.1,0.2,39.9,-,1.6,-,2012-13
Victor Moses,Chelsea,ng,25,M(CLR),177,75,12(11),1125,1,1,-,-,1.1,81.9,0.4,1,1,0.4,0.6,-,0.3,0.2,-,-,1,0.7,0.7,0.3,0.8,1,18,0.2,0.3,-,2012-13
John Obi Mikel,Chelsea,ng,29,DMC,188,83,19(3),1628,-,-,3,-,0.5,88.9,1.3,-,2.3,1.5,1.6,-,1.5,0.8,0.2,-,0.3,0.4,0.5,-,0.7,0.6,53,-,3.3,-,2012-13
Demba Ba,Chelsea,sn,31,FW,189,86,11(3),870,2,-,-,-,3.3,77.5,1.3,-,0.2,0.1,0.7,-,0.4,0.1,-,-,0.6,0.1,1.4,0.4,0.6,1.4,13.6,0.1,0.3,-,2012-13
Lucas Piazon,Chelsea,br,22,AM(CLR),182,73,0(1),16,-,1,-,-,1,88.9,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,18,-,-,-,2012-13
Paulo Ferreira,Chelsea,pt,37,D(R),181,76,0(2),8,-,-,-,-,-,87.5,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,2012-13
Daniel Sturridge,Chelsea,eng,27,"M(R),FW",188,76,1(6),161,1,-,-,-,1.3,85.9,-,-,-,0.4,-,-,-,-,-,-,0.3,0.9,0.3,0.3,0.3,0.6,10.1,-,1,-,2012-13
Oriol Romeu,Chelsea,es,24,DMC,183,83,4(2),237,-,-,1,-,1,89.3,1,-,1,1.3,0.5,-,0.7,1,0.2,-,0.2,-,0.7,-,0.2,0.3,34.2,-,4.3,-,2012-13
David Luiz,Chelsea,br,29,"D(C),DMC",189,84,29(1),2634,2,2,8,-,1.9,81.1,2,2,1.5,2.4,1.4,0.6,4.5,0.5,0.4,1,0.7,0.3,1.4,-,0.5,0.9,50.5,0.2,5.2,0.1,2012-13
Eden Hazard,Chelsea,be,25,M(CLR),173,74,31(3),2640,9,11,2,-,1.9,85.1,0.2,5,0.8,1.1,0.7,-,0.2,0.7,-,-,1.9,1.8,2.3,0.1,1.8,1.8,44.8,0.5,1.2,0.1,2012-13
Branislav Ivanovic,Chelsea,rs,32,D(CR),185,91,33(1),2944,5,1,4,1,0.7,83.8,2.2,2,1.8,1.4,0.7,1,5.8,0.3,0.4,-,0.4,0.2,0.7,-,0.3,0.3,39,0.3,3.1,-,2012-13
David Vaughan,Sunderland,wls,33,M(C),171,70,6(18),719,1,-,1,1,0.3,88.7,0.3,-,1.3,0.8,0.6,-,0.6,0.4,0.2,1,0.2,0.2,0.5,-,0.4,0.3,16.3,0.1,0.8,-,2012-13
Lee Cattermole,Sunderland,eng,28,M(C),178,76,10,667,-,-,2,-,0.2,85.3,0.7,-,2.1,2.6,1.5,-,0.9,1.6,0.7,-,0.3,0.1,1,0.1,1,0.1,29.2,-,3.3,-,2012-13
Phil Bardsley,Sunderland,sct,31,D(LR),180,74,11(7),986,1,-,5,-,0.4,77.6,0.9,-,1.3,0.5,0.8,0.2,2.4,0.2,0.4,-,0.3,0.3,0.4,-,0.2,0.2,24.6,0.3,1.6,-,2012-13
John O'Shea,Sunderland,ie,35,D(C),191,75,34,2994,2,-,3,-,0.4,75.3,2.9,-,1.5,2,0.8,0.5,8,0.5,0.8,-,0.2,0.1,0.4,-,0.1,0.1,28.4,-,2.4,-,2012-13
James McFadden,Sunderland,sct,33,"M(C),FW",178,75,0(3),34,-,-,-,-,-,60,-,-,-,-,-,-,0.3,0.7,-,-,-,-,-,-,0.3,-,5,0.3,-,-,2012-13
Kieran Richardson,Sunderland,eng,31,"D(L),M(CL)",173,71,1,90,-,-,-,-,-,83.8,-,-,3,2,2,-,6,-,1,-,1,-,-,-,-,1,37,-,1,1,2012-13
Danny Rose,Sunderland,eng,26,D(L),173,72,25(2),2222,1,1,6,-,0.6,76.9,1,-,2.3,2.7,1.1,0.2,2.4,0.8,0.4,-,0.4,1,2.3,-,0.8,0.5,36,0.2,1.9,-,2012-13
Adam Mitchell,Sunderland,eng,22,Midfielder,173,73,0(1),2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2012-13
Stéphane Sessegnon,Sunderland,bj,32,M(CLR),172,72,34(1),2902,7,3,1,1,1.7,83.9,0.5,2,0.6,0.3,1.2,-,0.2,0.2,0.1,-,1.1,1.7,2.5,0.3,2.3,2.2,26.2,0.3,2,0.1,2012-13
Sebastian Larsson,Sunderland,se,31,M(CR),178,70,36(2),3001,1,3,5,-,0.8,83.5,0.4,2,2.1,1.3,1.4,-,1.2,1,0.4,-,1.1,0.3,0.4,0.1,0.4,0.3,33.2,1.4,2.2,-,2012-13
David Meyler,Sunderland,ie,27,"DMC,M(LR)",189,81,0(3),63,-,-,-,-,-,81.5,0.3,-,1,1,-,-,0.7,0.3,-,-,-,-,1.3,-,0.3,-,9,-,1.7,-,2012-13
Matthew Kilgallon,Sunderland,eng,32,D(CL),188,81,6,512,-,-,1,-,0.7,81.9,1.7,-,1,1.8,0.5,0.8,4.2,0.7,1,1,-,-,0.2,-,0.2,-,29.5,-,0.7,-,2012-13
Steven Fletcher,Sunderland,sct,29,FW,186,76,28,2373,11,1,3,-,2,63.7,5.1,2,0.2,0.4,1.1,-,0.9,0.3,0.1,-,0.7,0.3,1.6,0.7,1.8,2.1,28.1,0.1,0.6,-,2012-13
Carlos Cuéllar,Sunderland,es,35,D(C),190,84,26,2259,1,2,5,-,0.5,77.6,2.9,5,2.9,1.8,0.5,0.7,9.2,0.5,1,1,0.1,0.2,0.4,-,-,0.3,26.6,-,1.9,-,2012-13
Alfred N'Diaye,Sunderland,fr,26,"D(C),M(C)",187,82,15(1),1298,-,-,3,-,1.1,80.3,1.4,-,2.8,1.6,1.9,-,1.8,1,0.2,-,0.5,0.8,0.8,-,1.4,0.6,28.5,0.2,1.3,0.1,2012-13
James McClean,Sunderland,ie,27,"AM(CLR),FW",180,70,24(12),2332,2,3,4,-,0.9,78.9,0.9,1,2.3,0.9,1.1,-,0.7,1,0.2,-,0.8,0.9,0.8,-,1.9,1.5,20.1,0.5,0.4,-,2012-13
Louis Saha,Sunderland,fr,38,"AM(L),FW",185,69,0(11),181,-,-,-,-,0.5,76.5,0.9,-,0.2,0.2,0.4,-,0.3,-,-,-,0.2,0.3,0.5,0.4,0.5,0.5,4.6,-,0.2,-,2012-13
Danny Graham,Sunderland,eng,31,FW,183,87,11(2),940,-,1,-,-,1.2,64.8,2,-,0.2,0.2,0.5,-,0.5,0.1,0.1,-,0.5,0.1,0.4,0.7,0.7,1.1,14.8,0.1,0.5,-,2012-13
Simon Mignolet,Sunderland,be,28,GK,193,87,38,3420,-,-,1,-,-,42.2,0.2,4,0.1,-,-,-,1.3,0.1,-,-,-,-,0.2,-,-,0.1,29,-,10.1,-,2012-13
Connor Wickham,Sunderland,eng,23,"AM(L),FW",191,90,3(9),451,-,-,-,-,1.1,63,1.7,-,0.6,0.3,0.8,0.1,0.3,0.5,0.1,-,0.6,0.2,0.9,0.3,1.3,1,12.8,-,0.3,-,2012-13
Mikael Mandron,Sunderland,fr,21,Forward,191,82,0(2),20,-,-,1,-,0.5,75,1,-,0.5,-,1.5,-,0.5,-,-,-,-,-,-,-,-,1,6,-,-,-,2012-13
Kader Mangane,Sunderland,sn,33,"D(C),DMC",190,80,0(2),19,-,-,-,-,-,50,0.5,-,0.5,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,2012-13
Titus Bramble,Sunderland,eng,35,D(C),185,86,12(4),1180,-,-,3,-,0.4,70.7,2.4,-,1.8,1.6,1,0.1,7.1,0.5,0.7,1,0.2,-,0.4,0.1,-,0.3,22.2,0.1,2.3,-,2012-13
Adam Johnson,Sunderland,eng,29,M(CLR),175,63,35,2942,5,6,3,-,1.3,79.3,0.1,-,0.9,0.7,0.4,-,0.3,0.6,0.1,-,1.6,0.9,1.1,0.2,1.5,0.9,27.4,1.4,1.5,0.1,2012-13
Jack Colback,Sunderland,eng,26,"D(L),M(C)",176,70,30(5),2812,-,-,4,-,0.3,85.9,0.5,1,2.5,2,1,-,1.6,0.8,0.6,-,0.5,0.2,1.3,-,0.7,0.3,31.9,0.2,1.8,-,2012-13
Ahmed Elmohamady,Sunderland,eg,29,"D(R),M(R)",180,81,0(2),22,-,-,-,-,-,70,1,-,0.5,1,0.5,-,0.5,0.5,-,-,-,-,-,-,-,-,5,-,0.5,-,2012-13
Craig Gardner,Sunderland,eng,29,"D(R),M(CLR)",178,76,32(1),2834,6,2,10,1,1.7,73.4,1.2,2,3.1,1.8,1.5,0.3,2.9,1.5,0.5,-,0.5,0.5,0.6,0.1,0.7,0.5,38.6,0.5,2.9,-,2012-13
Fraizer Campbell,Sunderland,eng,29,FW,172,82,1(11),255,1,-,-,-,0.6,75.6,0.3,-,0.6,0.3,0.5,-,0.3,0.5,0.1,-,0.3,0.2,0.3,-,0.4,0.3,6.5,0.1,0.2,0.2,2012-13
Billy Knott,Sunderland,eng,23,Midfielder,173,71,0(1),16,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,2012-13
Steven Davis,Southampton,nir,31,M(CLR),173,70,22(10),2073,2,1,1,-,0.8,85.3,0.4,1,1.8,1.5,0.7,-,0.9,0.7,0.1,-,0.9,0.2,0.4,0.1,1,0.8,40.9,0.7,1.2,0.2,2012-13
Daniel Fox,Southampton,eng,30,D(CL),183,79,14(6),1217,1,1,3,1,0.4,74.5,1.2,-,1.4,1.5,0.6,0.1,3,0.4,0.3,-,0.9,0.2,0.4,-,0.4,0.2,32.3,0.9,2,-,2012-13
Jack Cork,Southampton,eng,27,DMC,183,70,28,2431,-,-,1,-,0.5,83.6,1.5,-,1.9,2.3,0.6,-,2.1,0.9,-,-,0.8,0.6,1.2,0.1,1.4,1,52.1,0.3,2,0.1,2012-13
Guly do Prado,Southampton,br,34,"AM(L),FW",189,78,8(10),758,-,1,-,-,0.9,84.3,0.4,-,0.9,0.8,0.9,-,0.7,0.3,-,1,0.5,0.3,0.4,0.2,0.8,0.7,14.9,0.6,0.2,-,2012-13
Paulo Gazzaniga,Southampton,es,24,GK,196,90,9,810,-,-,-,-,-,53.3,0.3,-,0.1,-,-,-,0.7,-,-,-,0.1,-,-,-,-,-,26.9,-,9.6,-,2012-13
Steve De Ridder,Southampton,be,29,FW,179,73,0(4),48,-,-,1,-,-,82.4,-,-,0.8,0.5,0.5,-,0.3,0.5,-,-,0.3,1,1.5,0.3,0.3,-,4.3,0.5,0.3,-,2012-13
