name,nat,tm,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB
Calum Chambers,Arsenal,eng,21,D(CR),183,66,17(6),1571,1,1,7,1,0.3,82.8,2,-,2.1,2,1.1,0.3,3.4,1.2,0.2,-,0.5,0.8,0.7,-,0.6,0.7,38.4,0.4,1.3,-
Emiliano Martinez,Arsenal,ar,24,GK,183,89,3(1),301,-,-,-,-,-,54.3,-,-,-,-,-,-,0.5,-,-,-,-,-,0.3,-,-,-,20.3,-,5.5,-
Kieran Gibbs,Arsenal,eng,26,D(L),178,70,18(4),1658,-,3,3,-,0.5,81.7,1.4,1,2,2.5,0.8,0.1,2.8,0.5,0.1,1,0.7,1.4,0.3,-,0.4,0.8,40.5,0.6,1,-
Nacho Monreal,Arsenal,es,30,D(CL),178,72,26(2),2311,-,1,3,-,0.1,85.6,2.8,-,2.3,3.1,0.9,0.3,4.4,0.7,0.4,-,0.4,0.3,0.7,-,0.1,0.4,44.5,0.2,1.1,-
Alexis Sánchez,Arsenal,cl,27,"M(LR),FW",168,62,34(1),2953,16,8,4,-,3.5,76.8,0.8,8,2,1.2,1.3,-,0.2,1.5,-,-,2.3,3.3,2.1,0.2,3.3,2.1,42,0.6,1.3,0.4
Wojciech Szczesny,Arsenal,pl,26,GK,196,84,17,1499,-,-,1,-,-,62.3,0.3,-,-,-,-,-,0.6,0.1,-,-,-,-,0.2,-,-,-,22.8,-,4.9,-
Laurent Koscielny,Arsenal,fr,31,D(C),186,75,26(1),2288,3,-,4,-,0.3,88.9,3.2,2,1.3,3.5,0.7,1.1,5.9,0.5,0.7,-,0.1,0.3,0.6,0.1,0.2,0.3,42.9,-,2.4,-
Olivier Giroud,Arsenal,fr,29,FW,192,88,21(6),1867,14,3,5,1,2.6,67.7,3.7,2,1,0.2,1.4,-,0.8,0.6,0.1,-,1.1,0.3,1.1,0.5,1.9,1.9,28.3,0.1,0.3,0.3
David Ospina,Arsenal,co,28,GK,183,80,18,1620,-,-,-,-,-,57.5,0.1,-,0.1,-,-,-,0.9,-,-,-,0.1,-,0.1,-,-,-,26.8,-,10.2,-
Ainsley Maitland-Niles,Arsenal,eng,19,M(CR),177,0,0(1),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Mesut Özil,Arsenal,de,27,M(CLR),183,76,21(1),1860,4,5,-,-,1.3,88.3,0.2,-,1.3,0.5,0.5,-,0.3,0.7,-,-,3.1,2.4,1.2,0.4,1.7,1.5,63.6,1.8,0.9,0.2
Theo Walcott,Arsenal,eng,27,"M(LR),FW",176,68,4(10),442,5,-,-,-,1.6,87.4,0.1,1,-,0.2,0.1,-,0.1,-,-,-,0.3,0.6,0.1,0.2,0.4,0.5,7.4,0.2,-,-
Francis Coquelin,Arsenal,fr,25,M(CL),178,74,19(3),1663,-,-,5,-,0.2,85.8,2.5,-,3.2,3.7,1.4,-,3,1.2,0.4,-,0.2,1,0.8,-,1.1,0.6,45.5,-,1.5,-
Gabriel Paulista,Arsenal,br,25,D(C),185,72,4(2),349,-,1,-,-,0.3,85.4,2.8,-,0.5,3,0.5,1,7.5,0.2,0.8,-,0.2,-,0.3,-,0.2,-,21.7,-,1.2,-
Joel Campbell,Arsenal,cr,24,"AM(LR),FW",178,71,0(4),39,-,-,-,-,-,82.9,-,-,0.3,0.3,-,-,0.3,0.3,-,-,0.5,0.3,0.5,-,0.3,-,8.8,0.3,-,-
Aaron Ramsey,Arsenal,wls,25,M(CR),178,76,23(6),2010,6,6,6,-,2.2,86,0.6,1,2,1.1,0.8,-,0.8,1.6,0.1,-,1.6,0.9,1,0.2,1.2,1.5,56.6,0.1,2,0.2
Per Mertesacker,Arsenal,de,31,D(C),198,90,35,3150,-,1,2,-,0.4,89.3,3.2,-,0.8,2.1,0.2,0.8,5.5,0.3,0.6,-,0.1,0.2,0.4,-,-,0.2,50.8,-,1.7,-
Santi Cazorla,Arsenal,es,31,M(CLR),168,66,33(4),2992,7,11,5,-,2.5,89,0.1,4,1.6,1.1,0.5,-,0.6,1.5,0.1,-,2.1,2.4,1.6,0.1,1.5,1,64,1.1,2.2,0.2
Chuba Akpom,Arsenal,eng,20,FW,183,70,0(3),27,-,-,-,-,0.7,80,0.7,-,0.3,-,0.3,-,0.3,-,-,-,-,0.7,0.3,-,-,1,1.7,-,-,-
Chris Wood,Leicester,nz,24,FW,191,81,0(7),107,1,-,-,-,0.7,57.9,1.4,-,-,-,0.7,-,0.1,-,-,-,-,0.3,0.3,0.1,0.7,0.9,5.4,-,-,-
Ritchie de Laet,Leicester,be,27,D(LR),186,77,20(6),1884,-,1,3,-,0.2,69.4,2,1,2.4,2.7,1,0.2,4.2,1.1,0.5,-,0.5,0.5,0.7,-,0.2,0.3,23.7,0.2,1.5,-
Paul Konchesky,Leicester,eng,35,D(L),178,69,26,2250,1,1,3,2,0.2,74,0.9,-,1.5,1.6,0.8,0.3,3.1,0.5,0.2,-,0.3,0.3,0.5,-,0.6,0.5,36.7,0.4,2.5,-
David Nugent,Leicester,eng,31,"M(C),FW",180,76,16(13),1705,5,2,3,-,1.4,74.2,2,-,0.6,0.3,0.8,-,0.2,0.2,0.1,-,0.7,0.7,0.7,0.2,1.1,1.2,19.5,0.3,0.4,-
Matt Upson,Leicester,eng,37,D(C),185,72,5,375,-,-,-,-,0.4,70.7,2,-,1.4,1.8,0.4,0.4,3.8,1.4,0.2,1,0.2,-,0.2,-,-,-,24.6,-,2.6,-
Marc Albrighton,Leicester,eng,26,M(LR),175,67,10(8),1028,2,3,3,-,0.8,58.1,0.6,2,2.6,1.1,0.8,0.1,0.8,0.9,-,-,1.7,0.7,0.8,0.1,0.7,1.1,19.2,1.9,1.8,-
Nick Powell,Leicester,eng,22,"AM(C),FW",183,65,0(3),40,-,-,-,-,0.7,81.3,0.7,-,-,-,-,-,0.3,0.3,-,-,-,0.3,0.3,-,-,0.7,5.3,-,0.3,-
Dean Hammond,Leicester,eng,33,DMC,183,74,9(3),781,-,-,3,-,0.5,81.9,1.8,-,2.2,1.8,1.7,-,1.5,1.7,0.3,-,0.3,0.2,0.4,-,0.4,0.3,34,0.1,1.3,-
Jeffrey Schlupp,Leicester,gh,23,"D(L),M(L)",178,72,30(2),2539,3,2,4,-,1.3,71.2,1.3,1,2.5,1.9,0.9,-,1.9,1,0.1,1,0.7,2,1.5,-,1.2,1.3,22.6,0.5,1.4,-
Esteban Cambiasso,Leicester,ar,36,"D(C),M(C)",177,78,27(4),2423,5,1,1,-,0.9,73.6,1.2,1,2.3,2.1,0.6,-,1,1.5,0.3,1,1.2,0.5,0.5,-,0.5,0.5,36.1,0.6,2.3,0.1
Wes Morgan,Leicester,jm,32,D(C),185,93,37,3288,2,2,1,1,0.7,76.6,3.8,1,1.5,2.6,0.8,0.9,6.9,0.1,1.3,2,0.2,0.5,0.4,-,0.2,0.5,24.7,0.1,1.5,-
Danny Simpson,Leicester,ie,29,D(R),178,74,13(1),1185,-,-,4,-,0.1,67.5,1.4,-,2.1,2.3,1.2,0.5,3.4,0.7,0.4,-,0.3,0.5,0.6,-,0.2,0.4,30.4,0.4,1.8,-
Ben Hamer,Leicester,eng,28,GK,193,78,9,721,-,-,1,-,-,36.5,0.4,1,-,-,-,-,1.2,-,-,-,-,-,0.2,-,-,-,30.1,-,10,-
Anthony Knockaert,Leicester,fr,24,M(LR),172,69,3(6),330,-,-,-,-,0.9,81.3,0.1,-,0.8,0.4,0.7,-,-,1.1,-,-,0.2,1,0.8,-,0.7,0.6,13.7,0.9,0.2,0.1
Leonardo Ulloa,Leicester,ar,30,FW,190,80,29(8),2409,11,3,3,-,1.3,72.7,3.3,-,1.4,0.4,1.8,-,1,0.8,0.1,-,1,0.4,0.9,0.3,2,2.2,24.3,0.2,0.4,-
Kasper Schmeichel,Leicester,dk,29,GK,189,84,24,2160,-,-,-,-,-,41.1,0.1,-,-,0.1,-,-,0.9,-,-,-,0.1,0.1,-,-,-,-,29.4,-,9.8,-
Andrej Kramaric,Leicester,hr,25,FW,177,73,6(7),575,2,-,-,-,1.8,83.8,0.5,-,0.5,0.1,0.1,-,0.1,0.5,-,-,0.5,0.6,0.5,0.2,0.7,1.2,14.2,0.2,0.3,0.2
Matthew James,Leicester,eng,25,DMC,183,76,20(7),1892,-,1,2,1,1,81,1.6,1,1.6,1.9,0.5,0.1,1.4,0.5,0.1,-,1.4,0.6,0.7,-,1,0.6,30.1,1.1,1.5,-
Andy King,Leicester,wls,27,AM(C),183,75,16(8),1374,2,-,1,-,0.6,81.7,1.5,-,1.9,1.3,0.3,-,1,0.8,0.2,-,0.2,0.4,0.6,-,0.4,0.7,26.1,0.1,1.1,-
Jamie Vardy,Leicester,eng,29,"AM(L),FW",178,76,26(8),2247,5,8,5,-,1.4,64.3,1.9,2,0.9,0.7,1.2,-,0.2,0.2,0.1,-,1,0.8,0.9,0.9,0.6,1.4,13.7,0.2,0.3,-
Mark Schwarzer,Leicester,au,43,GK,194,95,6,540,-,-,-,-,-,42,0.3,-,-,-,-,-,0.8,-,-,-,-,-,0.3,-,-,-,33.3,-,9.5,-
Marcin Wasilewski,Leicester,pl,36,D(CR),186,88,22(3),1991,1,1,6,-,0.5,67,2.6,-,2.1,2.8,1.6,0.9,6.6,0.5,0.8,-,0.2,-,0.5,-,0.1,0.2,22.6,-,2.2,-
Gary Taylor-Fletcher,Leicester,eng,35,"M(CL),FW",183,70,0(1),17,-,-,-,-,-,85.7,-,-,-,-,1,-,-,3,-,-,-,-,-,-,-,-,7,-,-,-
Daniel Drinkwater,Leicester,eng,26,DMC,178,70,16(7),1488,-,-,1,-,0.7,79.4,0.7,-,2.3,1.7,1.3,-,1.4,1,0.2,-,0.4,0.7,0.5,-,0.8,1.1,41,0.3,1.9,-
Riyad Mahrez,Leicester,dz,25,AM(CLR),179,61,25(5),2084,4,3,-,-,2.1,73.3,0.7,2,1.4,1,0.9,-,0.1,1.5,0.2,-,1.5,2.6,1.3,-,1.5,1.4,24.9,1.2,1.2,0.3
Liam Moore,Leicester,eng,23,D(CR),185,86,10(1),936,-,-,4,-,0.4,77.2,2.3,-,1.2,1,0.7,0.8,7.2,0.3,1.4,-,0.1,0.3,0.5,-,0.1,0.3,23.1,-,1.9,-
Robert Huth,Leicester,de,32,D(C),191,80,14,1180,1,-,2,-,1.1,74.7,4.1,-,1.5,3.2,0.9,0.4,7.7,0.3,0.9,-,-,0.1,0.5,0.1,0.3,0.3,18.9,-,0.9,-
Tom Lawrence,Leicester,wls,22,"AM(CLR),FW",175,75,0(3),51,-,-,-,-,1,80,-,-,0.3,0.3,0.3,-,-,-,-,-,-,-,-,-,0.3,1.3,8.3,-,-,-
Ruben Loftus-Cheek,Chelsea,eng,20,M(C),191,83,2(1),134,-,-,-,-,0.3,94.2,0.3,-,1,1.3,1,-,1,1,-,-,0.3,0.7,0.7,-,-,0.3,34.7,-,0.7,-
Diego Costa,Chelsea,es,27,FW,188,85,24(2),2085,20,3,8,-,2.9,77.4,1.3,5,0.5,0.2,1.3,-,0.8,0.3,-,-,1.6,1.1,1,1,2.7,2.2,27.3,0.2,0.4,-
Juan Cuadrado,Chelsea,co,28,"M(CLR),FW",178,71,4(8),312,-,-,2,-,0.7,90.8,0.2,-,1,0.4,0.4,-,0.2,0.7,-,-,0.5,0.4,0.8,-,1,0.3,15.4,0.3,0.4,-
Mohamed Salah,Chelsea,eg,24,"AM(CLR),FW",175,72,0(3),30,-,-,-,-,0.7,78.3,-,-,-,-,0.3,-,-,-,-,-,0.3,0.3,-,-,1,0.7,7.7,-,0.3,-
Kurt Zouma,Chelsea,fr,21,D(CR),190,92,7(8),644,-,-,-,-,0.1,80.6,1.5,-,1.1,0.5,0.4,0.2,3.1,0.1,0.2,-,0.1,0.2,0.1,-,-,-,17.2,-,0.8,-
Andreas Christensen,Chelsea,dk,20,D(C),188,78,0(1),12,-,-,-,-,-,100,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,12,-,-,-
Petr Cech,Chelsea,cz,34,GK,196,90,6(1),606,-,-,-,-,-,58.5,-,-,-,-,-,-,0.6,-,-,-,-,-,-,-,-,-,21,-,6.6,-
Gary Cahill,Chelsea,eng,30,D(C),193,86,33(3),2985,1,-,5,-,0.6,86.5,3.3,-,1,0.8,0.6,1,6.1,0.3,0.8,-,0.1,0.1,0.5,-,0.1,0.2,36.6,-,2,-
Oscar,Chelsea,br,25,AM(CLR),179,67,26(2),2038,6,8,5,-,2.6,82.6,1.1,1,1.9,0.5,1.3,-,1.1,1.3,0.1,-,1.3,0.6,0.8,0.1,1.5,1.1,46.1,0.2,1.6,0.1
André Schürrle,Chelsea,de,25,"M(LR),FW",184,74,5(9),433,3,-,2,-,1.5,79,0.9,-,1.3,0.4,0.7,-,0.1,0.6,0.1,-,0.4,0.4,0.5,0.3,0.4,0.4,15.3,0.4,0.2,-
Willian,Chelsea,br,28,AM(CLR),175,75,28(8),2418,2,3,3,-,1.5,85.1,0.4,-,1,0.4,0.8,-,0.2,1,-,-,1.4,1.8,1.5,0.1,1,1.2,38,0.7,2.4,-
Didier Drogba,Chelsea,ci,38,FW,189,91,8(20),856,4,1,5,-,1.1,60.3,1.6,-,0.5,0.1,0.5,-,0.4,0.1,0.1,-,0.5,0.4,0.6,0.4,1.4,1.4,11.3,0.1,0.5,-
Cesc Fàbregas,Chelsea,es,29,"M(CL),FW",175,74,33(1),2890,3,18,11,1,1.3,85.2,0.8,3,2.6,0.7,0.9,-,0.9,2.1,0.1,-,2.8,1.1,1.1,-,1.4,1,80.6,1.7,5.4,0.5
Thibaut Courtois,Chelsea,be,24,GK,199,91,32,2814,-,-,1,-,-,49.5,0.3,1,-,-,-,-,0.7,-,-,-,0.1,-,0.3,-,-,-,23.2,-,7.2,-
Ramires,Chelsea,br,29,M(CR),180,70,11(12),1102,2,4,4,-,0.7,79.9,1,-,1.2,0.6,0.8,-,1,0.7,-,-,0.4,0.6,0.8,-,0.8,0.8,23.6,-,0.8,-
Isaiah Brown,Chelsea,eng,19,AM(L),182,70,0(1),11,-,-,-,-,-,72.7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-
César Azpilicueta,Chelsea,es,27,D(LR),178,75,29,2484,-,3,1,1,0.2,83.5,1.3,3,3,2,0.7,0.1,3.1,1.1,0.4,-,0.6,0.3,0.5,-,0.2,0.5,44.8,0.2,1.6,-
John Obi Mikel,Chelsea,ng,29,DMC,188,83,6(12),697,-,1,1,-,0.2,90.7,0.4,-,1.2,0.8,0.8,-,0.7,0.8,0.1,-,0.1,0.4,0.2,-,0.2,0.3,29.3,-,1.2,-
Nathan Aké,Chelsea,nl,21,"D(L),DMC",180,75,0(1),17,-,-,-,-,-,93.8,-,-,-,1,1,-,1,-,-,-,-,-,1,-,-,-,16,-,1,-
Nemanja Matic,Chelsea,rs,28,DMC,194,84,35(1),3124,1,3,10,1,0.8,86.4,2.1,6,3.6,2,1.3,0.1,3.3,2.2,0.2,-,0.7,1.5,0.6,0.2,1.2,0.5,63.8,0.1,3.3,-
John Terry,Chelsea,eng,35,D(C),187,90,38,3420,5,-,2,-,0.5,89.6,2.6,1,1.1,0.9,0.3,0.6,5.7,0.3,0.8,1,0.2,-,0.5,-,-,0.1,42.3,-,1.6,-
Loïc Remy,Chelsea,fr,29,"M(LR),FW",185,80,6(13),668,7,-,-,-,1.6,82.5,0.6,-,0.2,0.1,0.5,-,0.3,0.1,-,-,0.3,0.4,0.5,0.4,0.7,0.4,12,0.1,0.2,-
Filipe Luis,Chelsea,br,31,D(L),182,73,9(6),939,-,-,1,-,0.3,86.3,0.9,-,3.1,0.9,1.3,-,1.1,0.5,0.2,-,0.7,0.9,0.7,-,0.7,0.3,39.5,0.3,1.7,-
Eden Hazard,Chelsea,be,25,M(CLR),173,74,38,3379,14,9,2,-,2.1,86.8,0.4,10,0.7,0.6,0.3,-,0.2,0.6,-,-,2.6,4.8,3,0.1,2.7,2.1,58.4,0.3,2.3,0.2
Branislav Ivanovic,Chelsea,rs,32,D(CR),185,91,38,3420,4,5,10,1,1.2,81.2,2.6,1,2.3,1,1.1,0.1,3.6,0.4,0.1,-,0.9,0.8,0.7,0.1,0.6,0.6,39.5,0.4,1.5,-
Wes Brown,Sunderland,eng,36,D(C),185,77,23(2),1994,-,-,5,1,0.2,79.3,1.8,1,1.5,1.2,0.6,0.2,5.2,0.6,1,1,0.2,0.2,0.4,-,0.2,0.2,34,-,2.9,-
Lee Cattermole,Sunderland,eng,28,M(C),178,76,26(2),2358,1,-,14,-,0.4,80.8,1,-,2.7,2.4,1.9,0.1,2.4,2,0.4,-,0.4,0.4,0.7,-,0.6,0.4,39.4,-,3.2,0.1
William Buckley,Sunderland,eng,26,AM(R),183,82,9(13),870,-,2,2,-,0.1,75.8,0.1,-,0.7,0.3,0.5,-,0.3,0.5,-,-,0.5,0.7,1.2,0.4,0.6,0.6,8.6,0.3,0.1,-
Ricardo Álvarez,Sunderland,ar,28,AM(CR),188,73,5(8),495,-,-,3,-,0.8,88.6,0.2,-,0.8,0.4,0.4,-,0.2,0.9,-,-,0.5,2.2,0.4,0.2,0.7,0.5,14.8,0.2,0.5,-
Jack Rodwell,Sunderland,eng,25,M(C),188,80,17(6),1487,3,-,5,-,1.3,84.1,0.8,-,1.5,0.6,1.1,-,1.7,0.6,0.6,-,0.2,0.6,0.7,-,0.5,0.3,23,-,1.2,-
John O'Shea,Sunderland,ie,35,D(C),191,75,37,3271,-,-,4,-,0.2,81.1,2.1,-,1.3,2,0.8,0.4,5,0.4,0.6,1,0.2,0.3,0.4,-,0.1,0.2,36.4,-,2.2,-
Patrick van Aanholt,Sunderland,nl,26,"D(L),M(L)",177,74,26(2),2306,-,5,4,-,1.1,81.7,0.4,2,2.7,2.4,0.8,0.1,3,1.3,0.6,1,1.3,1.3,0.6,0.1,1,1.1,33.2,0.4,1.4,-
Billy Jones,Sunderland,eng,29,D(LR),183,77,14,1256,-,-,7,-,0.3,72.3,2.3,-,2.7,1.1,1.4,0.1,2.9,0.7,0.8,-,0.4,0.4,1,0.3,1.1,0.4,25,0.2,1.1,-
Vito Mannone,Sunderland,it,28,GK,188,80,10,900,-,-,-,-,-,63.3,0.6,1,0.1,0.2,-,-,1.2,-,-,-,0.1,-,0.3,-,-,0.1,34.9,-,9.7,-
Costel Pantilimon,Sunderland,ro,29,GK,203,96,28,2520,-,-,2,-,-,47.5,0.3,4,0.1,-,-,-,1,0.1,-,-,-,-,0.4,-,-,-,30.8,-,10.8,-
Steven Fletcher,Sunderland,sct,29,FW,186,76,20(10),1784,5,2,4,-,1.2,69.3,2.6,2,0.7,0.3,0.8,-,0.6,0.4,0.1,-,0.6,0.4,1.1,0.3,1.1,2.4,18.3,0.1,0.3,-
Valentin Roberge,Sunderland,fr,29,D(C),189,73,1,90,-,-,1,-,1,81.8,-,-,4,1,2,-,4,-,-,-,-,-,-,-,-,-,33,-,3,-
Danny Graham,Sunderland,eng,31,FW,183,87,7(7),628,1,-,-,-,0.7,63,1.3,-,0.1,0.1,0.1,-,0.7,0.4,0.1,-,0.4,0.2,0.9,0.2,0.5,1.3,11.8,0.1,0.3,-
Liam Bridcutt,Sunderland,sct,27,DMC,175,73,10(8),908,-,2,6,1,0.2,81.3,0.7,-,2.3,1.3,1.2,0.1,0.7,0.8,0.4,1,0.5,0.4,0.9,-,0.6,0.7,27.3,0.2,1.1,-
Anthony Réveillere,Sunderland,fr,36,D(LR),181,76,15(1),1327,-,1,-,-,0.3,78.1,1.2,1,2,2.2,0.5,0.1,2.8,0.8,0.1,-,0.6,0.5,0.4,-,0.7,0.3,34.5,0.2,1.3,0.1
Sebastian Larsson,Sunderland,se,31,M(CR),178,70,36,3061,3,3,10,-,1.3,81.8,0.6,1,2.4,1.1,1.4,-,1.3,1.4,0.4,-,1.6,0.6,1.4,0.1,0.9,0.7,38.5,1.6,2.5,0.1
Connor Wickham,Sunderland,eng,23,"AM(L),FW",191,90,31(5),2774,5,1,8,-,2.3,65,2.8,-,1.4,0.8,1.6,-,1.6,1.1,0.1,-,0.6,1.2,1.7,0.3,2.7,2.4,25.2,0.2,0.9,-
Mikael Mandron,Sunderland,fr,21,Forward,191,82,0(1),4,-,-,-,-,1,100,2,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,3,-,1,-
Jordi Gómez,Sunderland,es,31,M(CLR),178,74,22(7),1942,4,2,7,-,1.1,80.5,0.6,1,1.7,1.5,1.2,-,1.1,1.2,0.2,-,0.8,0.4,1.8,0.1,0.9,1.2,34,0.4,0.8,-
Jozy Altidore,Sunderland,us,26,FW,185,79,2(9),304,-,-,-,-,0.6,65.9,1.5,-,0.2,0.1,0.6,-,0.3,0.5,-,-,0.3,0.4,0.1,0.1,0.7,1.1,8,-,0.4,-
Santiago Vergini,Sunderland,ar,28,D(CR),191,83,28(3),2623,-,-,6,-,0.4,77.1,1.3,1,2,1.7,0.5,0.2,3.5,1.1,0.5,1,0.2,1.4,0.3,-,0.6,0.7,36.8,0.1,1.9,-
Emanuele Giaccherini,Sunderland,it,31,M(CLR),167,60,2(6),305,-,-,2,-,1,89.8,0.3,-,0.4,0.5,0.5,-,0.5,1,-,-,1.3,0.6,1,-,0.8,0.8,20.9,-,0.5,-
Adam Johnson,Sunderland,eng,29,M(CLR),175,63,23(9),2084,4,1,2,-,0.8,79.4,0.1,-,0.6,0.5,0.5,-,0.3,0.5,-,-,1.2,1.5,1.1,0.2,1.2,1.1,23.7,1.1,1.8,0.1
Jermain Defoe,Sunderland,eng,33,"AM(R),FW",171,65,17,1457,4,-,1,-,2,79.6,0.1,-,1,0.5,0.5,-,0.1,1.1,-,-,0.8,0.4,1.2,0.9,1.1,0.9,16.4,0.1,0.4,0.1
Sebastián Coates,Sunderland,uy,25,D(C),196,85,9(1),822,-,-,1,-,0.7,69.6,2,1,2.7,3.3,0.9,0.4,5,1.4,1,-,0.2,0.5,0.7,-,-,0.4,24,-,1.8,-
Dominic Gape,Southampton,eng,22,Midfielder,180,70,0(1),1,-,-,-,-,-,100,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Lloyd Isgrove,Southampton,wls,23,Forward,178,72,0(1),8,-,-,-,-,-,85.7,-,-,2,-,-,-,-,1,-,-,-,-,1,-,-,-,7,-,2,-
Fraser Forster,Southampton,eng,28,GK,201,93,30,2624,-,-,1,-,-,57.6,0.1,1,-,-,-,-,0.6,-,-,-,-,-,0.1,-,-,-,24.5,-,8.1,-
Harrison Reed,Southampton,eng,21,DMC,181,72,5(4),460,-,-,-,-,0.4,83.2,0.4,-,3.4,1.8,0.8,-,1,1.9,0.1,-,-,0.1,1.3,-,0.1,0.9,25.8,-,1,-
Ryan Seager,Southampton,eng,20,Forward,176,75,0(1),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Jack Cork,Southampton,eng,27,DMC,183,70,5(7),477,2,-,-,-,0.3,86.9,0.5,-,0.7,0.7,0.8,-,0.4,0.1,-,-,0.4,0.1,0.8,0.1,0.6,0.8,24.8,-,1.5,0.1
Paulo Gazzaniga,Southampton,es,24,GK,196,90,2,180,-,-,-,-,-,55.3,0.5,-,-,-,-,-,1,-,-,-,-,-,0.5,-,-,-,23.5,-,8.5,-
Eljero Elia,Southampton,nl,29,"AM(LR),FW",176,77,9(7),788,2,-,2,-,0.9,79.6,0.3,1,1.6,0.6,1.1,-,0.2,0.6,-,-,0.7,0.9,0.9,0.1,1.3,0.9,17.2,0.3,0.1,-
Jake Hesketh,Southampton,eng,20,Midfielder,168,63,1(1),52,-,-,1,-,1,88.9,-,-,1,-,0.5,-,-,0.5,-,-,-,-,-,-,0.5,-,9,-,-,-
Filip Djuricic,Southampton,rs,24,AM(C),176,67,3(6),327,-,-,1,-,0.8,76.5,0.3,-,0.7,0.6,0.4,-,0.3,0.3,-,-,0.6,1.2,0.8,0.2,1.1,0.8,17,0.2,0.1,-
José Fonte,Southampton,pt,32,D(C),187,81,37,3330,-,1,5,-,0.6,83.5,1.6,1,2.1,3.2,0.8,0.5,5.5,0.4,0.6,-,0.3,0.1,0.4,-,0.2,0.3,52.9,0.1,4.5,-
Kelvin Davis,Southampton,eng,39,GK,185,74,6(1),616,-,-,-,-,-,54.4,0.1,-,-,-,-,-,0.4,-,-,-,-,-,-,-,-,-,26,-,9.1,-
Toby Alderweireld,Southampton,be,27,D(CR),186,81,26,2263,1,-,3,-,0.7,80.2,1.4,1,1.7,1.2,0.5,0.4,5.5,0.7,0.8,-,0.3,0.3,0.2,-,0.2,0.3,42.6,0.2,5.2,-
Matt Targett,Southampton,eng,20,"D(L),M(L)",183,70,3(3),225,-,-,-,-,0.2,77.7,0.7,-,1,0.8,0.2,0.2,1.2,0.7,0.2,-,0.2,0.7,0.5,-,0.2,0.7,17.2,0.3,1.5,-
