name,nat,tm,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB
Jack Wilshere,Arsenal,eng,24,M(CLR),172,68,9(5),732,2,1,4,-,1.3,84.2,0.2,1,0.7,0.4,0.7,-,0.1,0.5,0.1,-,1.1,2.3,1.5,-,0.7,0.7,37.4,-,1.2,0.3
Héctor Bellerín,Arsenal,es,21,"D(R),M(R)",177,74,17(3),1562,2,1,5,-,0.3,83.7,0.9,-,2,2.1,0.8,0.1,2.2,0.8,0.3,-,0.6,1.6,0.2,0.1,1.1,0.8,37.4,0.5,0.9,-
Tomas Rosicky,Arsenal,cz,35,M(CR),178,65,5(10),576,2,1,1,-,0.7,86.3,0.6,-,0.7,0.5,0.5,-,0.5,0.5,0.1,-,0.5,0.8,0.7,-,0.3,0.2,29.7,0.1,0.6,0.3
Mathieu Debuchy,Arsenal,fr,31,D(R),177,76,10,808,1,-,2,-,0.8,79.7,4.5,-,2.6,1.8,1.5,0.2,5.1,0.7,0.6,-,0.2,0.6,1,0.4,0.4,1.2,36.9,-,1.7,0.1
Mathieu Flamini,Arsenal,fr,32,M(C),178,67,15(8),1456,1,1,3,-,0.3,91.3,1,-,1.9,2.1,0.9,0.1,1.4,0.7,0.3,-,0.2,0.1,0.5,-,0.5,0.1,37.6,-,0.9,-
Yaya Sanogo,Arsenal,fr,23,FW,191,74,2(1),140,-,-,-,-,2.7,62.2,1.7,-,0.3,-,0.3,-,0.7,-,-,-,-,1.3,0.7,1,1,1.7,12.3,0.3,-,-
Alex Oxlade Chamberlain,Arsenal,eng,23,M(CLR),180,70,17(6),1495,1,1,4,-,1.4,81.4,0.3,2,1.1,1.1,0.6,-,0.3,0.6,0.1,-,1.5,3.6,0.5,-,1.2,1.6,30.8,0.8,1.2,0.1
Lukas Podolski,Arsenal,de,31,"AM(LR),FW",182,83,0(7),99,-,-,-,-,1.3,87.8,0.4,-,0.1,0.1,0.1,-,0.3,0.1,-,-,0.3,-,0.4,-,0.3,0.1,10.6,0.1,0.1,-
Danny Welbeck,Arsenal,eng,25,"AM(CLR),FW",185,73,18(7),1667,4,3,3,-,2.3,81.9,1.5,2,1.4,1.1,0.6,-,0.4,0.3,0.1,-,1.2,1.6,0.6,0.3,1.4,1.8,21,-,0.1,0.1
Mikel Arteta,Arsenal,es,34,M(C),183,64,6(1),450,-,1,1,-,0.3,93.8,1.1,-,1.6,0.7,1.6,-,0.7,0.7,0.1,-,0.4,-,1.4,-,0.3,-,60,-,2.4,-
