name,nat,tm,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB,season
Henri Lansbury,Arsenal,eng,25,M(C),183,85,0(2),24,-,-,1,-,-,88.2,-,-,0.5,0.5,0.5,-,-,-,-,-,0.5,-,-,-,-,-,8.5,-,1,-,2011-12
Mikel Arteta,Arsenal,es,34,M(C),183,64,29,2475,6,2,4,-,1.4,90.8,0.6,3,2.5,1.9,1.4,0.1,0.4,1.1,0.2,-,2.1,0.7,1.9,-,0.9,0.6,76.9,1,5.2,0.2,2011-12
Tomas Rosicky,Arsenal,cz,35,M(CR),178,65,19(9),1760,1,4,4,-,1.4,85.3,0.4,1,1.4,0.9,0.9,-,0.1,0.4,-,-,1.5,1.2,0.8,-,1.1,0.6,45.5,0.5,1.3,0.4,2011-12
Abou Diaby,Arsenal,fr,30,M(C),191,75,0(4),91,-,-,1,-,0.8,87.1,0.5,-,0.3,0.5,0.5,-,0.3,-,0.3,-,-,1.5,0.3,-,2,0.5,17.5,-,0.8,-,2011-12
Bacary Sagna,Arsenal,fr,33,D(CR),176,72,20(1),1701,1,2,2,-,0.5,85.5,2.7,1,2,1.7,0.6,0.3,2.4,0.6,-,-,0.9,0.1,1.2,-,0.9,0.2,53.6,1,1.8,-,2011-12
Ignasi Miquel,Arsenal,es,23,D(C),189,85,1(3),215,-,-,-,-,0.3,78.4,0.5,-,2,2.3,0.3,1.5,2.8,0.5,0.5,-,-,-,0.3,0.3,0.3,0.5,34.8,0.8,2.3,-,2011-12
Marouane Chamakh,Arsenal,ma,32,"AM(C),FW",185,70,1(10),169,1,-,-,-,0.7,72.2,1,-,0.5,0.1,0.1,-,0.5,-,0.1,-,0.2,0.1,0.7,-,0.5,0.4,7.2,0.1,-,0.1,2011-12
Yossi Benayoun,Arsenal,il,36,M(R),178,70,10(9),901,4,1,1,-,1.1,81.1,0.3,1,0.8,1.1,0.7,0.1,0.4,0.5,-,-,0.7,0.6,0.5,-,0.7,0.8,21.5,-,0.3,0.2,2011-12
Sébastien Squillaci,Arsenal,fr,36,D(C),185,80,0(1),9,-,-,-,-,-,100,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,3,-,-,-,2011-12
Per Mertesacker,Arsenal,de,31,D(C),198,90,21,1830,-,-,2,-,0.4,89.2,1.4,-,0.8,1.7,0.4,0.7,4.4,0.2,0.6,-,0.1,0.1,0.6,-,-,0.3,52,-,2.3,-,2011-12
Alex Oxlade Chamberlain,Arsenal,eng,23,M(CLR),180,70,6(10),556,2,1,-,-,0.9,84.4,0.2,-,0.6,0.4,0.3,-,0.1,0.2,-,-,0.7,1.6,0.6,0.1,1.9,0.6,15.2,0.4,1.1,0.1,2011-12
Thomas Vermaelen,Arsenal,be,30,D(CL),183,80,28(1),2478,6,1,7,-,1.3,85.5,1.9,2,1.6,2.3,1.1,1,4.1,0.1,0.5,1,0.3,0.2,0.8,-,0.1,0.6,50.3,0.1,3.6,-,2011-12
Samir Nasri,Arsenal,fr,29,M(CLR),175,75,1,90,-,-,-,-,2,88.1,-,-,1,1,1,-,-,-,-,-,2,4,-,-,9,-,59,1,1,-,2011-12
Kieran Gibbs,Arsenal,eng,26,D(L),178,70,15(1),1253,1,-,1,-,0.5,83.1,1.4,1,2.1,1.6,0.6,0.7,2.2,0.3,0.3,-,0.6,1.1,0.6,0.2,0.6,0.8,38.8,0.3,1,0.1,2011-12
Armand Traore,Arsenal,sn,26,"D(L),M(L)",185,81,1,90,-,-,-,-,-,85.3,-,-,2,2,-,1,6,2,-,-,-,1,-,-,3,-,34,-,-,-,2011-12
Wojciech Szczesny,Arsenal,pl,26,GK,196,84,38,3420,-,-,2,-,-,62.1,0.1,1,-,-,0.1,-,1.3,-,-,-,-,0.1,0.1,-,-,-,26.9,-,5.8,-,2011-12
Laurent Koscielny,Arsenal,fr,31,D(C),186,75,33,2874,2,1,9,-,0.6,84.8,1.9,2,2.6,2.8,1,1.5,5.1,0.4,0.5,2,0.4,0.5,0.8,-,0.3,0.5,51.5,0.2,2.2,-,2011-12
Francis Coquelin,Arsenal,fr,25,M(CL),178,74,6(4),631,-,1,2,-,0.1,84.7,0.5,-,3.2,1.9,0.5,0.2,1.4,0.9,0.2,-,0.4,0.7,1.1,0.1,2.2,0.2,39.3,0.2,2.1,0.1,2011-12
Carl Jenkinson,Arsenal,eng,24,D(R),185,77,5(4),494,-,1,-,1,0.1,86.2,-,-,1.7,0.3,1.1,0.7,1.4,0.4,0.2,-,0.7,0.1,0.1,-,0.6,0.7,29.8,0.6,3,-,2011-12
Theo Walcott,Arsenal,eng,27,"M(LR),FW",176,68,32(3),2749,8,8,1,-,2.2,79.3,0.3,-,0.5,0.5,0.4,-,0.2,0.5,-,-,1.2,1,1.2,0.7,1.9,2.3,24,0.5,-,0.1,2011-12
André Santos,Arsenal,br,33,"D(L),M(CL)",180,73,10(5),1012,2,-,2,-,1.1,86.2,1.3,-,3.3,2.3,1.2,0.1,1,1.1,0.2,-,0.8,0.9,0.5,-,1.1,0.5,51.9,0.3,1.6,0.1,2011-12
Nicklas Bendtner,Arsenal,dk,28,FW,194,89,0(1),10,-,-,-,-,-,77.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,2011-12
Nico Yennaris,Arsenal,eng,23,"D(R),DMC",175,65,0(1),45,-,-,-,-,-,94.4,-,-,4,1,-,1,3,1,-,-,2,-,-,-,-,-,18,3,1,-,2011-12
Aaron Ramsey,Arsenal,wls,25,M(CR),178,76,27(7),2466,2,4,3,-,1.8,87.3,0.3,-,1.7,0.8,0.9,-,0.3,0.9,0.1,1,1.6,1,0.8,-,2.6,1.6,56.6,0.3,3.1,0.2,2011-12
Alexandre Song,Arsenal,cm,29,M(C),185,74,34,2999,1,11,10,-,0.4,84.3,0.7,-,2.9,1.9,2.1,0.1,1.2,1.4,0.3,1,1.4,0.7,1.1,-,1.6,1,66.1,0.1,3.3,0.7,2011-12
Robin van Persie,Arsenal,nl,33,FW,183,71,37(1),3334,30,10,8,-,4.6,78.6,0.7,12,0.5,0.3,0.8,-,1.2,0.2,0.1,-,2.4,1.1,1,1.2,2.4,1.4,27.2,1.3,0.7,0.4,2011-12
Andrey Arshavin,Arsenal,ru,35,AM(LR),172,69,8(11),722,1,3,1,-,1.4,74.4,-,-,0.5,0.4,0.3,-,0.2,0.5,0.1,-,1,0.6,0.2,0.2,0.6,0.9,17.9,0.3,0.2,0.3,2011-12
Thierry Henry,Arsenal,fr,39,"AM(L),FW",188,84,0(4),94,2,-,-,-,1,60.5,0.5,-,0.3,0.5,0.3,-,-,-,-,-,-,0.3,0.3,0.5,0.3,-,9.5,-,0.3,-,2011-12
Gervinho,Arsenal,ci,29,"M(LR),FW",179,66,19(9),1688,4,6,-,1,1.4,84.7,0.1,1,0.9,0.7,0.4,-,0.1,0.3,-,-,1.3,1.4,0.7,0.2,1.8,1.5,22,0.1,-,0.1,2011-12
Park Chu-Young,Arsenal,kr,31,FW,182,70,0(1),6,-,-,-,-,-,75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1,-,2011-12
Emmanuel Frimpong,Arsenal,gh,24,M(C),180,70,3(3),218,-,-,-,1,0.3,81.2,0.2,-,1.7,1.3,1.3,-,0.3,0.7,0.3,-,0.3,0.3,0.8,-,0.3,0.3,27.5,-,1.3,-,2011-12
Johan Djourou,Arsenal,ch,29,D(C),191,87,14(4),1167,-,1,3,1,0.2,90,1.1,-,1.4,0.7,0.7,0.8,2.3,0.6,0.4,-,0.3,0.6,0.5,0.1,0.4,0.6,35.4,0.1,1.4,0.1,2011-12
Tuncay,Bolton,tr,34,"M(L),FW",182,70,3(13),386,-,-,-,-,0.6,71.4,0.6,-,0.6,0.3,0.3,-,0.3,0.1,0.1,-,0.3,0.3,0.4,0.2,0.4,0.8,8.3,0.2,0.1,-,2011-12
Ivan Klasnic,Bolton,hr,36,"AM(L),FW",186,82,16(13),1500,8,4,3,1,1.6,70.5,0.4,2,0.7,0.5,0.9,-,0.6,0.3,0.1,-,1,0.3,0.4,0.2,1.4,1.3,17.4,-,0.8,0.2,2011-12
Nigel Reo-Coker,Bolton,eng,32,"D(R),M(C)",176,78,37,3265,3,-,7,-,0.6,84.1,0.3,1,2.3,2.2,1.4,0.1,0.8,0.8,0.2,-,0.6,0.8,0.8,-,1.6,1.1,45.1,0.1,2.9,0.1,2011-12
Robbie Blake,Bolton,eng,40,AM(CL),175,76,0(1),4,-,-,-,-,-,77.8,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,2011-12
Dedryck Boyata,Bolton,be,25,D(C),188,84,13(1),1124,1,-,3,-,0.5,77.6,0.5,-,2.3,2.4,0.8,0.4,3,0.5,0.5,-,0.4,0.6,0.4,-,0.8,0.8,31.9,0.1,1.2,0.1,2011-12
Paul Robinson,Bolton,eng,37,D(CL),175,72,15(2),1420,-,1,4,-,-,76.8,1.2,-,2.7,2.4,0.9,0.4,3.7,0.8,0.7,-,0.3,0.1,0.9,-,0.4,0.3,41.1,0.1,2.4,0.1,2011-12
Tyrone Mears,Bolton,eng,33,D(R),181,74,1,90,-,-,-,-,1,80,2,-,1,3,-,1,6,-,-,-,-,-,1,-,-,1,40,1,2,-,2011-12
Gary Cahill,Bolton,eng,30,D(C),193,86,19,1638,2,-,2,1,0.8,74.4,3.3,1,0.7,2.1,0.9,1.9,9.8,0.3,1.3,-,0.1,0.2,0.6,-,0.4,0.4,30.9,0.1,2.5,-,2011-12
Joe Riley,Bolton,eng,24,Defender,183,71,2(1),201,-,-,-,-,0.3,50,1,-,3,1.7,-,0.3,2.7,1.3,-,-,-,1,-,-,1,0.3,29.3,-,2.3,-,2011-12
Fabrice Muamba,Bolton,eng,28,"M(CR),FW",188,78,18(2),1330,1,1,2,-,0.6,75.7,0.9,-,2.6,2,1.4,0.1,0.8,0.6,0.1,-,0.4,0.4,0.4,-,0.8,0.6,18.3,-,1.2,0.1,2011-12
Adam Bogdan,Bolton,hu,28,GK,193,82,20,1800,-,-,-,-,-,41,-,1,-,-,0.1,-,0.8,0.1,-,-,0.1,-,0.1,-,-,0.1,33,-,12,-,2011-12
Lee Chung-yong,Bolton,kr,28,M(CLR),180,75,0(2),17,-,-,-,-,0.5,58.3,0.5,-,0.5,0.5,0.5,-,-,-,-,-,0.5,-,-,-,-,-,6,-,-,-,2011-12
Sam Ricketts,Bolton,wls,34,"D(CR),DMC",185,76,20,1800,1,1,3,-,0.7,59.9,1.7,-,1.9,2,1.2,0.5,3.4,0.9,0.5,-,0.6,0.8,0.9,-,0.7,0.8,32.3,0.3,1,-,2011-12
Marcos Alonso,Bolton,es,25,"D(CL),M(L)",188,81,4(1),332,1,-,-,-,1,70.5,1.2,-,1.8,2.6,0.8,0.8,5.4,1.6,-,-,0.6,1,0.4,-,1,0.6,33.2,-,1.6,-,2011-12
Ryo Miyaichi,Bolton,jp,23,M(L),183,71,8(4),683,-,2,-,-,0.8,70.3,0.4,1,0.7,0.4,0.1,-,0.4,0.5,0.1,-,1.8,0.8,0.8,0.3,0.9,1.1,13.2,1.6,0.1,-,2011-12
David Wheater,Bolton,eng,29,D(C),196,82,24,2010,2,2,1,2,0.8,68.8,2.2,1,1.8,2.3,1.2,1.5,8.3,0.6,1.4,-,0.3,-,0.2,-,0.1,0.5,24.3,-,1.9,-,2011-12
Ricardo Gardner,Bolton,jm,37,AM(C),175,70,2(2),161,-,-,-,1,0.3,76.1,-,-,2,2,1.5,-,0.8,-,0.5,-,0.5,0.5,0.8,-,0.8,0.8,16.8,-,0.5,-,2011-12
Jussi Jääskeläinen,Bolton,fi,41,GK,191,81,18,1620,-,-,1,-,-,47.9,0.1,-,-,0.1,-,-,1.2,-,-,-,0.1,0.1,0.1,-,0.1,-,37,-,15.5,-,2011-12
Marvin Sordell,Bolton,eng,25,FW,178,80,0(3),39,-,-,-,-,1.3,72.7,0.3,-,-,-,-,-,-,-,-,-,0.3,-,-,-,0.7,0.3,3.7,0.3,-,-,2011-12
Mark Davies,Bolton,eng,28,M(CLR),180,74,29(6),2750,4,-,4,-,0.7,87.3,0.2,1,2.2,1.4,1,0.1,0.5,0.4,0.3,-,1,1.3,1,-,1.1,1.1,30.2,0.1,2.3,-,2011-12
Zat Knight,Bolton,eng,36,D(C),199,103,21(4),1982,-,-,1,-,0.2,69.5,1,-,1.8,2,0.3,0.8,8.7,0.6,0.6,-,0.1,0.1,0.3,-,-,0.2,22,-,2.6,-,2011-12
Grétar Steinsson,Bolton,is,34,D(R),189,78,20(3),1883,1,-,6,-,0.7,66.7,1,-,1.5,1.9,0.9,0.1,4.2,0.6,0.7,1,0.4,-,0.4,0.1,0.4,0.4,27.7,0.2,1.5,-,2011-12
Josh Vela,Bolton,eng,22,"D(R),DMC",181,73,0(3),38,-,-,1,-,-,83.3,-,-,1,-,0.3,-,0.3,-,-,-,-,-,-,-,-,0.3,10,-,0.7,-,2011-12
Darren Pratley,Bolton,eng,31,M(CL),185,69,14(11),1273,1,-,4,-,0.7,79.3,0.3,-,1.6,1,1.2,-,0.8,0.5,0.1,-,0.2,0.2,0.6,0.1,0.5,0.8,18,0.1,0.7,-,2011-12
Martin Petrov,Bolton,bg,37,"M(CL),FW",180,77,30(1),2573,4,6,1,-,2.3,77.7,0.1,-,0.4,0.8,0.1,-,0.3,0.5,-,-,2,0.5,0.5,0.1,1.1,1.2,27.2,2.4,1,0.1,2011-12
Kevin Davies,Bolton,eng,39,"AM(L),FW",183,82,21(10),1870,6,2,3,-,1.3,57.3,2.5,1,1.1,0.5,1.9,-,1.1,0.3,0.1,-,1,0.1,1.3,0.5,1,1.9,29.1,-,0.3,-,2011-12
Chris Eagles,Bolton,eng,30,M(LR),183,70,26(8),2306,4,6,1,-,2.8,74.2,0.3,2,1.3,1.5,0.5,-,0.2,0.6,0.1,-,1.5,1.1,1.1,-,1.3,1.4,25.6,1.4,0.5,0.1,2011-12
David Ngog,Bolton,fr,27,FW,190,76,24(9),2047,3,4,2,-,1.8,66.5,1.9,1,1.2,0.5,2.1,-,0.8,0.4,0.1,-,1,0.5,1.6,0.5,2.4,3.2,22.3,-,0.4,0.2,2011-12
Gaël Kakuta,Bolton,fr,25,M(LR),172,65,0(4),67,-,-,-,-,0.5,81.5,0.3,-,0.8,-,-,-,-,-,-,-,-,0.8,0.3,-,0.8,0.3,6.8,-,0.3,-,2011-12
Tim Ream,Bolton,us,28,"D(CL),DMC",186,73,13,1170,-,1,1,-,0.1,79.6,1.3,-,1.4,3.2,0.3,1.3,9.1,0.6,1,-,0.3,0.1,0.2,-,0.3,0.4,30.5,0.1,2.5,-,2011-12
Salomon Kalou,Chelsea,ci,31,"AM(LR),FW",184,77,7(5),577,1,1,-,-,1.1,81.1,0.3,-,0.7,0.3,0.3,-,0.5,0.3,-,-,1.4,0.9,0.5,0.3,1.3,1,21.2,0.2,0.4,0.3,2011-12
Romelu Lukaku,Chelsea,be,23,FW,190,94,1(7),158,-,1,-,-,1.1,81.1,0.3,-,0.3,-,0.4,-,0.3,-,-,-,0.6,0.5,0.1,0.3,1.5,0.6,6.6,0.3,-,-,2011-12
Juan Mata,Chelsea,es,28,AM(CLR),170,63,29(5),2533,6,13,2,-,1.9,87,-,2,0.7,0.6,0.5,-,0.2,0.8,-,-,3,0.9,0.9,0.5,1.7,1.2,43.7,1.8,2.7,0.4,2011-12
Petr Cech,Chelsea,cz,34,GK,196,90,34,3060,-,-,-,-,-,62.7,0.1,-,-,-,-,-,1.3,0.1,-,-,-,-,0.2,-,-,-,30.5,-,9,-,2011-12
Yossi Benayoun,Chelsea,il,36,M(R),178,70,0(1),1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2011-12
Gary Cahill,Chelsea,eng,30,D(C),193,86,9(1),855,1,-,2,-,0.9,85.3,0.8,-,1,1.3,0.7,0.9,5.7,0.2,0.9,-,0.1,0.1,0.6,-,-,0.3,38.9,-,3.1,-,2011-12
Ross Turnbull,Chelsea,eng,31,GK,193,85,2,180,-,-,-,-,-,62.3,-,-,-,1,-,-,2,-,-,-,0.5,-,-,-,-,-,30.5,-,12,-,2011-12
Ashley Cole,Chelsea,eng,35,D(L),176,66,31(1),2786,-,5,7,1,0.4,87.8,0.5,1,2.5,1.6,1,0.3,2,0.9,0.3,-,0.8,0.3,1,0.2,1.1,0.8,43.9,0.5,2.3,0.1,2011-12
Josh McEachran,Chelsea,eng,23,DMC,178,66,0(2),13,-,-,-,-,-,92.3,-,-,-,0.5,-,-,-,-,-,-,0.5,-,0.5,-,-,-,6.5,-,-,0.5,2011-12
Fernando Torres,Chelsea,es,32,FW,185,79,20(12),1904,6,4,4,1,2.1,74.1,0.9,2,1.1,0.3,1.1,-,-,0.4,-,-,1,1.1,1.1,0.3,1.9,2.2,17.8,0.3,0.3,0.1,2011-12
Florent Malouda,Chelsea,fr,36,M(CL),184,73,11(15),1155,2,3,3,-,1.3,82.7,0.5,1,0.7,0.4,0.8,-,0.3,0.2,-,-,1.6,0.8,0.6,-,1.7,0.5,26.7,1.2,0.8,0.1,2011-12
Didier Drogba,Chelsea,ci,38,FW,189,91,16(8),1481,5,1,1,1,2.7,62.6,1.1,1,0.6,0.4,1.2,-,1.1,0.4,0.2,-,1.3,0.7,1.1,0.4,1.8,1.9,16.2,0.3,0.5,0.3,2011-12
Frank Lampard,Chelsea,eng,38,M(C),184,89,26(4),2251,11,5,5,-,2.2,86.9,0.2,3,1.4,1.2,0.6,-,1.3,0.5,0.3,-,1.8,0.3,0.7,-,1.1,0.7,51.2,0.9,4.1,0.4,2011-12
Alex,Chelsea,br,34,D(C),188,92,3,246,-,-,-,-,1.7,88.9,2.7,-,3,2.3,1.3,1,4,0.3,0.3,-,0.3,-,-,-,0.7,-,39,-,1.7,-,2011-12
