name,nat,tm,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB
Mikel Arteta,Arsenal,es,34,M(C),183,64,27(4),2407,2,-,3,1,0.4,92.1,1.4,-,3.4,2,1.1,-,1.7,1.7,0.2,1,0.6,0.5,1.2,-,0.4,0.4,69.4,0.2,4.6,0.1
Tomas Rosicky,Arsenal,cz,35,M(CR),178,65,17(10),1574,2,1,8,-,0.9,84.7,0.5,-,0.9,0.6,1.1,-,0.2,0.6,0.1,-,1.3,0.9,0.8,-,0.5,0.6,41.5,0.3,1.3,0.1
Abou Diaby,Arsenal,fr,30,M(C),191,75,0(1),16,-,-,-,-,-,84.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-
Bacary Sagna,Arsenal,fr,33,D(CR),176,72,34(1),3061,1,2,6,-,0.5,85.4,3.5,1,1.7,1.5,0.7,0.4,5,0.4,0.2,-,0.6,0.2,0.8,-,0.7,0.4,52.9,0.5,1.5,-
Mathieu Flamini,Arsenal,fr,32,M(C),178,67,18(9),1604,2,-,8,1,0.7,91.5,0.9,-,1.4,1.4,0.9,0.1,1.9,0.4,0.4,1,0.3,0.2,0.7,-,0.5,0.6,41.7,-,2.4,-
Yaya Sanogo,Arsenal,fr,23,FW,191,74,0(8),71,-,-,-,-,0.3,68,0.9,-,0.3,0.4,-,-,-,0.1,-,-,0.1,-,0.1,0.4,0.4,0.4,3.1,-,0.1,-
Alex Oxlade Chamberlain,Arsenal,eng,23,M(CLR),180,70,6(8),525,2,2,-,-,1.3,80.4,0.2,1,0.6,0.9,0.4,-,0.7,0.5,0.2,-,0.4,1.5,0.7,0.1,0.7,1.2,23.6,0.1,1.5,-
Thomas Vermaelen,Arsenal,be,30,D(CL),183,80,7(7),782,-,1,-,-,0.3,90.8,2.4,-,1,1.4,0.4,0.6,5.6,0.1,0.1,-,0.1,0.2,0.4,0.1,0.1,0.1,24.8,-,2.9,-
Lukas Podolski,Arsenal,de,31,"AM(LR),FW",182,83,14(6),1173,8,2,-,-,2.1,88.8,0.9,1,0.9,0.2,0.5,-,1,0.6,-,-,0.4,0.3,0.6,0.3,0.9,0.9,30,0.2,0.4,0.1
Jack Wilshere,Arsenal,eng,24,M(CLR),172,68,19(5),1720,3,4,6,-,0.9,86.1,0.2,2,1.3,0.4,1.2,-,0.2,0.5,0.2,-,1.4,1.9,1.8,0.2,1.2,1.7,50.8,0.1,2.5,0.4
Kieran Gibbs,Arsenal,eng,26,D(L),178,70,24(4),2055,-,1,2,1,0.3,79.5,1.6,-,2.4,1.9,0.6,0.3,4.3,0.7,0.1,-,0.5,0.7,0.4,-,0.3,0.3,39,0.4,1,-
Nacho Monreal,Arsenal,es,30,D(CL),178,72,13(10),1179,-,1,2,-,0.2,88.2,0.8,-,1.3,1.1,0.5,0.1,2.4,0.6,0.1,-,0.5,0.3,0.5,0.1,0.4,0.3,31.3,0.3,0.9,-
Wojciech Szczesny,Arsenal,pl,26,GK,196,84,37,3330,-,-,2,-,-,62.4,0.4,-,0.1,-,0.1,-,1.3,-,-,-,-,0.1,0.1,-,-,-,26.5,-,10.1,-
Laurent Koscielny,Arsenal,fr,31,D(C),186,75,32,2742,2,-,1,1,0.4,93.5,1.7,3,1.7,2.8,0.9,1,7.4,0.3,0.7,-,0.1,0.1,0.5,-,0.3,0.3,39.7,-,4,-
Olivier Giroud,Arsenal,fr,29,FW,192,88,36,3083,16,8,4,-,3.1,68.9,4,3,0.9,0.5,1.3,0.1,1.2,0.6,0.2,-,1,0.7,1.6,0.8,2.2,2.7,31,0.1,0.9,0.3
Santi Cazorla,Arsenal,es,31,M(CLR),168,66,30(1),2597,4,8,2,-,2.4,86.3,0.2,3,1.5,1,0.5,-,0.7,1.5,0.1,-,2.2,1.6,1,0.1,1.4,1.8,62.5,1.2,3.1,0.3
Kim Källström,Arsenal,se,34,M(C),185,87,1(2),128,-,-,1,-,1,82,0.7,-,3,0.3,1.3,-,2,1,-,-,-,-,-,-,-,0.3,37,0.3,1.7,-
Carl Jenkinson,Arsenal,eng,24,D(R),185,77,7(7),800,1,2,1,-,0.1,85.2,0.6,-,0.9,0.5,0.4,0.1,2.1,0.1,0.3,-,0.3,0.6,0.3,-,0.1,0.4,28.4,0.4,0.7,-
