name,nat,tm,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB,season
Tomas Rosicky,Arsenal,cz,35,M(CR),178,65,8(13),929,-,1,3,-,1.1,87.8,0.2,-,0.8,0.9,0.5,-,0.6,0.2,-,-,1.3,0.8,0.6,-,0.7,0.4,30.9,0.4,0.8,0.5,2010-11
Abou Diaby,Arsenal,fr,30,M(C),191,75,13(3),962,2,3,1,1,1,90.6,1.1,1,1.8,1.1,1,0.1,1.5,0.6,0.1,-,0.8,2.3,0.4,0.1,1.9,0.8,41.8,0.1,0.8,0.1,2010-11
Bacary Sagna,Arsenal,fr,33,D(CR),176,72,33,2969,1,3,2,1,0.6,87,2.2,-,2,1.9,0.6,0.2,4.3,0.2,0.2,-,0.7,0.4,1.1,-,0.8,0.6,54.8,1,1.6,-,2010-11
Gaël Clichy,Arsenal,fr,31,D(L),176,65,33,2970,-,1,3,-,0.4,80.3,1.7,1,3.4,3.2,1,0.1,4.5,0.8,0.3,-,0.6,0.6,0.5,0.1,0.7,0.4,54.1,0.5,1.9,-,2010-11
Denílson,Arsenal,br,28,M(C),182,70,6(10),622,-,-,4,-,0.7,90.8,0.5,-,2.1,1.1,1.1,-,0.6,1.6,0.1,-,0.1,0.1,1.3,-,0.7,0.3,40.8,-,1.9,-,2010-11
Jay Emmanuel-Thomas,Arsenal,eng,25,FW,185,86,0(1),9,-,-,-,-,-,100,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,1,5,-,-,1,2010-11
Marouane Chamakh,Arsenal,ma,32,"AM(C),FW",185,70,18(11),1846,7,4,5,-,1.8,78.1,2.2,2,1,0.7,1.1,-,0.7,0.3,-,-,1.4,0.3,1.1,0.5,2.1,2,24.9,-,0.2,-,2010-11
Jens Lehmann,Arsenal,de,46,GK,188,82,1,90,-,-,-,-,-,45.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,-,6,-,2010-11
Sébastien Squillaci,Arsenal,fr,36,D(C),185,80,20(2),1818,1,-,1,-,0.5,87.3,1.3,1,1.7,1.9,0.5,1.7,4.6,0.1,0.5,1,0.3,-,0.4,-,0.3,0.2,40,-,1.5,-,2010-11
Thomas Vermaelen,Arsenal,be,30,D(CL),183,80,5,450,-,1,-,-,2,88.3,3.8,-,2.2,3.6,1.4,2,5.8,-,0.4,-,0.2,-,1.2,-,0.2,0.6,47.8,-,2.2,-,2010-11
