name,nat,tm,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB,season
Mikael Silvestre,Arsenal,fr,39,D(C),184,85,9(3),857,1,-,2,-,0.5,81.7,0.9,-,1.3,2.3,1.2,0.8,3.7,0.4,0.5,-,0.3,0.2,0.5,-,0.2,-,36.9,-,3.3,-,2009-10
Tomas Rosicky,Arsenal,cz,35,M(CR),178,65,14(11),1299,3,4,1,-,1.6,81.1,0.4,-,0.9,0.7,0.5,-,0.3,0.4,-,-,1.1,0.9,1.4,-,1,-,29.6,0.3,0.7,0.2,2009-10
Abou Diaby,Arsenal,fr,30,M(C),191,75,26(3),2322,6,3,2,-,1.3,83.1,1.9,6,2.7,2.7,1.8,-,2,0.6,-,1,1.2,2.7,1.6,0.1,2.9,-,53.3,0.1,1.4,0.3,2009-10
Bacary Sagna,Arsenal,fr,33,D(CR),176,72,31(4),2761,-,3,3,-,0.3,85.4,1.6,-,1.8,2.2,0.7,0.5,3.9,0.3,0.2,-,0.8,0.3,1.2,-,1.1,-,45.9,0.9,1.1,-,2009-10
Gaël Clichy,Arsenal,fr,31,D(L),176,65,23(1),2086,-,1,4,-,0.3,79.3,1.2,-,3,3.4,1,0.5,3.6,1.1,0.2,-,0.5,1,1,-,0.5,-,49,0.5,2.4,-,2009-10
Denílson,Arsenal,br,28,M(C),182,70,19(1),1573,3,1,2,-,1.1,86.4,1.5,2,2.6,3.1,1.7,-,1,1.9,0.2,-,0.6,0.6,2.1,-,2.1,-,63,0.2,3.4,0.1,2009-10
Eduardo da Silva,Arsenal,hr,33,"M(C),FW",177,72,13(11),1121,2,4,-,-,1.8,80.9,0.4,-,0.3,0.5,0.6,-,-,0.2,-,-,1.2,0.6,0.4,0.4,1,-,15.3,-,0.2,0.1,2009-10
Vito Mannone,Arsenal,it,28,GK,188,80,5,450,-,-,1,-,-,57,-,1,-,-,-,-,0.8,-,-,-,-,-,0.4,-,-,-,25.6,-,8.6,-,2009-10
Robin van Persie,Arsenal,nl,33,FW,183,71,14(2),1256,9,7,3,-,4.8,79.7,0.9,2,0.7,0.9,1.5,0.1,0.6,0.3,-,-,2.6,0.9,1.4,1.1,2,-,27.4,0.9,0.6,0.8,2009-10
Jack Wilshere,Arsenal,eng,24,M(CLR),172,68,0(1),1,-,-,-,-,-,100,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2009-10
Samir Nasri,Arsenal,fr,29,M(CLR),175,75,22(4),1888,2,4,2,-,1.4,86.4,0.1,1,1.4,1.4,0.4,-,0.4,0.5,-,-,2,1.6,0.7,0.2,2.5,-,44.7,1.1,1.8,0.4,2009-10
Kieran Gibbs,Arsenal,eng,26,D(L),178,70,3,270,-,-,1,-,0.3,77.6,1.7,-,3.3,3.7,0.3,-,4,1,-,-,0.3,1,0.7,0.3,0.3,-,55,0.7,1.3,-,2009-10
Carlos Vela,Arsenal,mx,27,"M(CLR),FW",177,75,1(10),227,1,-,-,-,0.5,82,0.1,-,0.3,0.1,0.6,-,0.1,-,-,-,0.5,0.4,0.6,0.2,0.9,-,9.1,0.1,0.3,-,2009-10
Armand Traore,Arsenal,sn,26,"D(L),M(L)",185,81,9,805,-,-,2,-,0.1,83.7,1.9,-,2.6,2.9,0.7,0.4,4.9,0.9,-,-,0.3,0.9,0.6,-,1.1,-,49.8,0.1,1.9,-,2009-10
