name,nat,tm,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB
Kevin Nolan,West Ham,eng,34,M(C),183,85,35,2991,10,2,6,-,2.3,78.6,0.5,1,1.7,0.9,1.9,0.1,1.2,1,0.3,-,0.8,0.1,0.5,0.5,1.3,0.9,29.1,0.2,1.1,0.1
Joe Cole,West Ham,eng,34,M(LR),175,63,7(4),618,2,-,2,-,1.3,80.5,0.4,-,0.7,0.5,0.6,0.1,0.2,0.1,-,-,1.4,0.3,0.8,0.7,1.7,0.3,23.3,1.9,0.5,0.2
Joey O'Brien,West Ham,ie,30,D(LR),180,70,32(1),2724,2,4,6,-,0.3,79.2,1.2,-,1.6,0.9,0.8,0.1,5,0.6,0.5,1,0.6,0.4,0.8,-,0.4,0.4,28.3,0.4,1.6,-
Andy Carroll,West Ham,eng,27,FW,193,79,22(2),1939,7,4,5,-,3.3,60.9,9.3,2,0.7,0.5,1.6,-,2.5,0.2,0.3,-,1.4,0.3,2.2,0.4,2.1,1.9,28.8,-,0.8,-
Marouane Chamakh,West Ham,ma,32,"AM(C),FW",185,70,2(1),151,-,-,-,-,1.7,64.2,5.3,-,1,-,-,-,-,0.3,-,-,1.3,0.3,0.7,-,2,2,22.3,-,0.3,-
Yossi Benayoun,West Ham,il,36,M(R),178,70,4(2),314,-,1,1,-,0.5,74.5,0.2,-,1.7,1,0.8,-,1.3,0.7,0.3,-,0.5,0.2,0.5,0.2,0.8,1,17,0.3,0.2,-
Jordan Spence,West Ham,eng,26,D(R),189,72,0(4),22,-,-,-,-,-,50,0.3,-,-,-,0.3,-,0.3,0.3,-,-,-,-,-,0.3,-,0.3,3,-,-,-
Matthew Jarvis,West Ham,eng,30,M(LR),173,70,29(3),2565,2,-,-,-,0.8,74.8,0.6,-,0.7,0.5,0.3,-,0.9,0.6,-,-,1.4,0.5,0.8,0.2,1.3,0.9,18.5,1.9,0.4,-
Robert Hall,West Ham,eng,22,AM(CLR),173,66,0(1),12,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Mark Noble,West Ham,eng,29,M(C),180,70,25(3),2286,4,3,7,-,0.5,82.6,0.2,4,3.6,1.8,1.2,-,1.1,1.3,0.2,-,1.5,0.4,0.9,-,1.1,0.7,51.6,1.3,3.8,0.1
Alou Diarra,West Ham,fr,35,"D(C),M(C)",190,79,1(2),138,-,-,1,-,0.7,80,2,-,2,0.3,1.3,0.3,2,1,0.7,-,-,0.3,0.3,-,1,-,21.7,-,0.7,-
Winston Reid,West Ham,nz,28,D(C),190,87,36,3145,1,-,8,-,0.4,74.8,2.4,3,1.9,2,1.1,0.7,8.8,0.6,0.7,-,0.3,-,1.1,-,0.1,0.3,23.9,-,2.4,-
James Tomkins,West Ham,eng,27,D(CR),191,74,18(8),1730,1,1,5,-,0.8,74.8,2.7,1,1.3,1.1,0.4,0.7,7,0.3,0.7,-,0.2,-,0.5,0.1,0.1,0.3,24.4,0.2,2.5,-
George McCartney,West Ham,nir,35,D(L),180,69,9(3),879,-,2,2,-,-,79.7,0.3,-,1.8,0.6,1,0.3,3.1,0.3,0.4,-,0.6,0.3,0.5,-,0.8,0.3,25,1,1.6,-
Modibo Maiga,West Ham,ml,29,FW,185,76,2(15),410,2,2,2,-,0.8,71.9,0.6,-,0.5,0.1,0.6,-,0.2,0.1,-,-,0.5,0.2,0.1,0.2,0.9,0.6,9,0.2,0.1,-
Ricardo Vaz Te,West Ham,pt,29,"AM(LR),FW",189,80,18(6),1610,3,4,3,-,1.8,73.1,1.1,-,1.3,1,0.8,0.1,1,0.5,-,-,1.2,0.7,1.3,0.4,1.1,1.4,21.5,0.6,0.4,0.1
Carlton Cole,West Ham,eng,32,FW,191,84,14(13),1360,2,1,2,1,1.3,59.6,3.9,1,0.1,0.1,1.5,-,1,0.1,0.1,-,0.4,0.1,0.6,0.3,1.7,1.3,15.8,0.1,0.1,-
Jussi Jääskeläinen,West Ham,fi,41,GK,191,81,38,3420,-,-,2,-,-,52.4,-,5,-,-,-,-,0.5,-,-,-,0.1,-,0.1,-,-,-,27.3,-,12.1,-
